编号,推算时间,表面位移_mm,非初始零值标记,局部差分突变候选标记,局部差分突变评分,趋势识别用位移_mm,稳健趋势位移_mm,原始速度_mm_h,滚动72点速度_mm_h,滚动72点加速度_mm_h2,阶段编号,阶段名称,分阶段模型拟合位移_mm,分阶段模型残差_mm
42,2024-05-04 06:50:00,1.168,False,False,4.494806421152029,1.168,0.339,5.058,,,1,缓慢匀速形变阶段,-21.933283312749264,23.101283312749263
43,2024-05-04 07:00:00,0.236,False,False,5.082962363415623,0.236,0.349,-5.592,,,1,缓慢匀速形变阶段,-21.904061183765382,22.140061183765383
44,2024-05-04 07:10:00,0.386,False,False,0.7824092809928509,0.386,0.35,0.9000000000000001,,,1,缓慢匀速形变阶段,-21.874839054781496,22.260839054781496
45,2024-05-04 07:20:00,0.362,False,False,0.1564818561985702,0.362,0.353,-0.14400000000000013,,,1,缓慢匀速形变阶段,-21.845616925797614,22.207616925797613
46,2024-05-04 07:30:00,0.38,False,False,0.06850296775934175,0.38,0.362,0.1080000000000001,,,1,缓慢匀速形变阶段,-21.81639479681373,22.196394796813728
47,2024-05-04 07:40:00,0.235,False,False,0.7878052070686632,0.235,0.362,-0.8700000000000001,,,1,缓慢匀速形变阶段,-21.787172667829843,22.022172667829842
48,2024-05-04 07:50:00,0.126,False,False,0.6151355726426547,0.126,0.366,-0.6539999999999999,,,1,缓慢匀速形变阶段,-21.75795053884596,21.883950538845962
49,2024-05-04 08:00:00,0.413,False,False,1.5432348576824504,0.413,0.366,1.722,,,1,缓慢匀速形变阶段,-21.728728409862075,22.141728409862075
50,2024-05-04 08:10:00,0.474,False,False,0.3992985296101446,0.474,0.366,0.366,,,1,缓慢匀速形变阶段,-21.699506280878193,22.173506280878193
51,2024-05-04 08:20:00,0.195,False,False,1.4827648100890438,0.195,0.366,-1.674,,,1,缓慢匀速形变阶段,-21.670284151894307,21.865284151894308
52,2024-05-04 08:30:00,0.317,False,False,0.685826738627462,0.317,0.366,0.732,,,1,缓慢匀速形变阶段,-21.641062022910422,21.958062022910422
53,2024-05-04 08:40:00,0.627,False,False,1.8282249533181396,0.627,0.375,1.86,,,1,缓慢匀速形变阶段,-21.61183989392654,22.23883989392654
54,2024-05-04 08:50:00,0.423,False,False,1.2129000499359828,0.423,0.375,-1.2240000000000002,,,1,缓慢匀速形变阶段,-21.582617764942654,22.005617764942652
55,2024-05-04 09:00:00,0.502,False,False,0.46149367753661785,0.502,0.375,0.4740000000000001,,,1,缓慢匀速形变阶段,-21.553395635958772,22.05539563595877
56,2024-05-04 09:10:00,0.537,False,False,0.20116391072109,0.537,0.375,0.2100000000000002,,,1,缓慢匀速形变阶段,-21.524173506974886,22.061173506974885
57,2024-05-04 09:20:00,0.328,False,False,1.1902778108410499,0.328,0.378,-1.2540000000000002,,,1,缓慢匀速形变阶段,-21.494951377991,21.822951377991
58,2024-05-04 09:30:00,0.615,False,False,1.5942508860355886,0.615,0.379,1.722,,,1,缓慢匀速形变阶段,-21.46572924900712,22.080729249007117
59,2024-05-04 09:40:00,0.211,False,False,2.2575930379175295,0.211,0.379,-2.4240000000000004,,,1,缓慢匀速形变阶段,-21.436507120023233,21.64750712002323
60,2024-05-04 09:50:00,0.438,False,False,1.2374954430066458,0.438,0.38,1.362,,,1,缓慢匀速形变阶段,-21.40728499103935,21.84528499103935
61,2024-05-04 10:00:00,0.424,False,False,0.08501984363150364,0.424,0.38,-0.08400000000000007,,,1,缓慢匀速形变阶段,-21.378062862055465,21.802062862055465
62,2024-05-04 10:10:00,0.283,False,False,0.8138483544097761,0.283,0.386,-0.8460000000000001,,,1,缓慢匀速形变阶段,-21.348840733071583,21.631840733071584
63,2024-05-04 10:20:00,0.323,False,False,0.2055089032780253,0.323,0.388,0.2400000000000002,,,1,缓慢匀速形变阶段,-21.319618604087697,21.642618604087698
64,2024-05-04 10:30:00,0.339,False,False,0.15281431269391624,0.339,0.394,0.09600000000000009,,,1,缓慢匀速形变阶段,-21.29039647510381,21.62939647510381
65,2024-05-04 10:40:00,0.26,False,False,0.34778429785511944,0.26,0.394,-0.4740000000000001,,,1,缓慢匀速形变阶段,-21.26117434611993,21.52117434611993
66,2024-05-04 10:50:00,0.265,False,False,0.09485026305139628,0.265,0.402,0.030000000000000027,,,1,缓慢匀速形变阶段,-21.231952217136044,21.496952217136045
67,2024-05-04 11:00:00,0.38,False,False,0.6744907594765952,0.38,0.404,0.69,,,1,缓慢匀速形变阶段,-21.20273008815216,21.582730088152157
68,2024-05-04 11:10:00,0.366,False,False,0.0,0.366,0.406,-0.08400000000000007,,,1,缓慢匀速形变阶段,-21.173507959168276,21.539507959168276
69,2024-05-04 11:20:00,0.353,False,False,0.005148784423485464,0.353,0.413,-0.07800000000000007,,,1,缓慢匀速形变阶段,-21.14428583018439,21.497285830184392
70,2024-05-04 11:30:00,0.504,False,False,0.8123428855010093,0.504,0.423,0.9060000000000001,,,1,缓慢匀速形变阶段,-21.11506370120051,21.61906370120051
71,2024-05-04 11:40:00,0.349,False,False,0.7429937272359369,0.349,0.423,-0.9300000000000002,,,1,缓慢匀速形变阶段,-21.085841572216623,21.434841572216623
72,2024-05-04 11:50:00,0.454,False,False,0.6270656279508974,0.454,0.424,0.6300000000000002,,,1,缓慢匀速形变阶段,-21.05661944323274,21.51061944323274
73,2024-05-04 12:00:00,0.431,False,False,0.05016873417594512,0.431,0.424,-0.13800000000000012,0.031,,1,缓慢匀速形变阶段,-21.027397314248855,21.458397314248856
74,2024-05-04 12:10:00,0.402,False,False,0.08361455695990826,0.402,0.424,-0.17399999999999982,0.02775,,1,缓慢匀速形变阶段,-20.99817518526497,21.40017518526497
75,2024-05-04 12:20:00,1.102,False,False,3.980052911291645,1.102,0.431,4.200000000000001,0.06816666666666667,,1,缓慢匀速形变阶段,-20.968953056281087,22.070953056281088
76,2024-05-04 12:30:00,0.424,False,False,3.701337721425282,0.424,0.434,-4.068000000000001,0.010666666666666666,,1,缓慢匀速形变阶段,-20.9397309272972,21.3637309272972
77,2024-05-04 12:40:00,0.379,False,False,0.16165481012248953,0.379,0.438,-0.2699999999999999,0.0039166666666666655,,1,缓慢匀速形变阶段,-20.910508798313316,21.289508798313317
78,2024-05-04 12:50:00,0.54,False,False,0.9866517721269206,0.54,0.439,0.9660000000000002,0.014500000000000004,,1,缓慢匀速形变阶段,-20.881286669329434,21.421286669329433
79,2024-05-04 13:00:00,0.513,False,False,0.061317341770599616,0.513,0.443,-0.16200000000000014,0.02766666666666667,,1,缓慢匀速形变阶段,-20.85206454034555,21.36506454034555
80,2024-05-04 13:10:00,0.394,False,False,0.5838029262696577,0.394,0.454,-0.714,0.005166666666666667,,1,缓慢匀速形变阶段,-20.822842411361666,21.216842411361664
81,2024-05-04 13:20:00,0.365,False,False,0.07368386448063648,0.365,0.454,-0.17400000000000015,0.002583333333333331,,1,缓慢匀速形变阶段,-20.79362028237778,21.15862028237778
82,2024-05-04 13:30:00,0.366,False,False,0.09822680963251398,0.366,0.458,0.006000000000000005,-0.002416666666666669,,1,缓慢匀速形变阶段,-20.7643981533939,21.130398153393898
83,2024-05-04 13:40:00,0.434,False,False,0.5722951898589296,0.434,0.459,0.40800000000000003,0.002416666666666664,,1,缓慢匀速形变阶段,-20.735176024410013,21.169176024410014
84,2024-05-04 13:50:00,0.567,False,False,1.0151426582021483,0.567,0.459,0.7979999999999997,0.029833333333333333,,1,缓慢匀速形变阶段,-20.705953895426127,21.272953895426127
85,2024-05-04 14:00:00,0.584,False,False,0.22483025315886535,0.584,0.459,0.10200000000000009,0.028333333333333332,,1,缓慢匀速形变阶段,-20.676731766442245,21.260731766442245
86,2024-05-04 14:10:00,0.204,False,False,2.383637247082337,0.204,0.459,-2.2800000000000002,-0.005833333333333336,,1,缓慢匀速形变阶段,-20.64750963745836,20.85150963745836
87,2024-05-04 14:20:00,0.624,False,False,2.9009651111469106,0.624,0.459,2.5200000000000005,0.0375,,1,缓慢匀速形变阶段,-20.618287508474474,21.242287508474472
88,2024-05-04 14:30:00,0.464,False,False,0.8971381946436265,0.464,0.459,-0.9599999999999999,0.0077500000000000025,,1,缓慢匀速形变阶段,-20.58906537949059,21.05306537949059
89,2024-05-04 14:40:00,0.343,False,False,0.6417484895990906,0.343,0.459,-0.726,0.00841666666666667,,1,缓慢匀速形变阶段,-20.559843250506706,20.902843250506706
90,2024-05-04 14:50:00,0.479,False,False,0.9953650042761406,0.479,0.463,0.8159999999999997,0.007999999999999998,,1,缓慢匀速形变阶段,-20.530621121522824,21.009621121522823
91,2024-05-04 15:00:00,0.406,False,False,0.3406518987255528,0.406,0.464,-0.4379999999999997,-0.001166666666666663,,1,缓慢匀速形变阶段,-20.501398992538938,20.907398992538937
92,2024-05-04 15:10:00,0.658,False,False,1.873585442990543,0.658,0.479,1.512,0.0345,,1,缓慢匀速形变阶段,-20.472176863555056,21.130176863555057
93,2024-05-04 15:20:00,0.439,False,False,1.3489815189531909,0.439,0.504,-1.3140000000000003,0.028166666666666663,,1,缓慢匀速形变阶段,-20.44295473457117,20.88195473457117
94,2024-05-04 15:30:00,0.404,False,False,0.08259070524203178,0.404,0.513,-0.20999999999999985,0.010666666666666666,,1,缓慢匀速形变阶段,-20.413732605587285,20.817732605587285
95,2024-05-04 15:40:00,0.712,False,False,2.2781269529260517,0.712,0.514,1.8479999999999996,0.024666666666666667,,1,缓慢匀速形变阶段,-20.384510476603403,21.096510476603402
96,2024-05-04 15:50:00,0.546,False,False,0.9842059041342152,0.546,0.52,-0.9959999999999996,0.010750000000000004,,1,缓慢匀速形变阶段,-20.355288347619517,20.901288347619516
97,2024-05-04 16:00:00,0.458,False,False,0.44284746834321925,0.458,0.526,-0.5280000000000001,0.015166666666666667,,1,缓慢匀速形变阶段,-20.32606621863563,20.78406621863563
98,2024-05-04 16:10:00,0.0,True,False,2.9636715189123133,0.5525,0.526,-2.748,0.020958333333333332,,1,缓慢匀速形变阶段,-20.29684408965175,20.29684408965175
99,2024-05-04 16:20:00,0.647,False,False,4.387464163585621,0.647,0.537,3.882,0.030916666666666665,,1,缓慢匀速形变阶段,-20.267621960667864,20.914621960667862
100,2024-05-04 16:30:00,0.459,False,False,1.0342191645307788,0.459,0.54,-1.1280000000000001,0.018833333333333334,,1,缓慢匀速形变阶段,-20.23839983168398,20.69739983168398
101,2024-05-04 16:40:00,0.443,False,False,0.08512990168151176,0.443,0.54,-0.09600000000000009,0.02666666666666667,,1,缓慢匀速形变阶段,-20.209177702700096,20.652177702700097
102,2024-05-04 16:50:00,0.537,False,False,0.7923629310356124,0.537,0.545,0.5640000000000002,0.015583333333333338,,1,缓慢匀速形变阶段,-20.179955573716214,20.716955573716213
103,2024-05-04 17:00:00,0.514,False,False,0.03929072385300523,0.514,0.546,-0.13800000000000012,0.021833333333333333,,1,缓慢匀速形变阶段,-20.150733444732328,20.664733444732327
104,2024-05-04 17:10:00,0.463,False,False,0.14132187341414384,0.463,0.5525,-0.30599999999999994,0.011500000000000002,,1,缓慢匀速形变阶段,-20.121511315748442,20.584511315748443
105,2024-05-04 17:20:00,4.417,False,True,25.572835366441186,4.417,0.567,23.724,0.3368333333333333,,1,缓慢匀速形变阶段,-20.09228918676456,24.509289186764562
106,2024-05-04 17:30:00,0.719,False,True,23.581481695605525,0.719,0.567,-22.188000000000002,-0.2674166666666667,,1,缓慢匀速形变阶段,-20.063067057780675,20.782067057780676
107,2024-05-04 17:40:00,0.653,False,False,0.2553897050445356,0.653,0.573,-0.3959999999999997,0.034083333333333334,,1,缓慢匀速形变阶段,-20.033844928796793,20.68684492879679
108,2024-05-04 17:50:00,0.59,False,False,0.26193815902003725,0.59,0.575,-0.37800000000000034,0.031,,1,缓慢匀速形变阶段,-20.004622799812907,20.594622799812907
109,2024-05-04 18:00:00,0.52,False,False,0.3202127848020196,0.52,0.584,-0.4199999999999997,0.011833333333333335,,1,缓慢匀速形变阶段,-19.97540067082902,20.49540067082902
110,2024-05-04 18:10:00,0.545,False,False,0.3270258227765314,0.545,0.59,0.15000000000000013,0.013083333333333336,,1,缓慢匀速形变阶段,-19.94617854184514,20.49117854184514
111,2024-05-04 18:20:00,0.628,False,False,0.6744907594765952,0.628,0.59,0.4979999999999998,0.030083333333333333,,1,缓慢匀速形变阶段,-19.916956412861254,20.544956412861254
112,2024-05-04 18:30:00,0.624,False,False,0.07708465822589665,0.624,0.595,-0.02400000000000002,0.016583333333333335,,1,缓慢匀速形变阶段,-19.88773428387737,20.51173428387737
113,2024-05-04 18:40:00,0.573,False,False,0.17986420252709218,0.573,0.609,-0.30600000000000027,0.020666666666666663,,1,缓慢匀速形变阶段,-19.858512154893486,20.431512154893486
114,2024-05-04 18:50:00,0.679,False,False,0.7982505318576226,0.679,0.619,0.6360000000000006,-0.04074999999999999,,1,缓慢匀速形变阶段,-19.8292900259096,20.5082900259096
115,2024-05-04 19:00:00,0.457,False,False,1.2783205822461183,0.457,0.624,-1.3320000000000003,0.018416666666666668,,1,缓慢匀速形变阶段,-19.800067896925718,20.25706789692572
116,2024-05-04 19:10:00,0.676,False,False,1.5346211775247307,0.676,0.624,1.3140000000000003,0.02416666666666667,,1,缓慢匀速形变阶段,-19.770845767941832,20.44684576794183
117,2024-05-04 19:20:00,0.644,False,False,0.05781349366942248,0.644,0.628,-0.19200000000000017,0.023500000000000004,,1,缓慢匀速形变阶段,-19.74162363895795,20.38562363895795
118,2024-05-04 19:30:00,0.444,False,False,1.165029493641392,0.444,0.628,-1.2000000000000002,0.005333333333333333,,1,缓慢匀速形变阶段,-19.712401509974065,20.156401509974064
119,2024-05-04 19:40:00,0.526,False,False,0.715368987323662,0.526,0.638,0.4920000000000001,0.024250000000000004,,1,缓慢匀速形变阶段,-19.683179380990182,20.209179380990182
120,2024-05-04 19:50:00,0.745,False,False,1.5545406075555808,0.745,0.641,1.3139999999999998,0.051583333333333335,,1,缓慢匀速形变阶段,-19.653957252006297,20.398957252006298
121,2024-05-04 20:00:00,0.651,False,False,0.45608422783655445,0.651,0.644,-0.5639999999999998,0.019833333333333338,,1,缓慢匀速形变阶段,-19.62473512302241,20.27573512302241
122,2024-05-04 20:10:00,0.59,False,False,0.23514356752395085,0.59,0.647,-0.3660000000000003,0.009666666666666665,,1,缓慢匀速形变阶段,-19.59551299403853,20.18551299403853
123,2024-05-04 20:20:00,0.638,False,False,0.47647512366695305,0.638,0.644,0.28800000000000026,0.03691666666666667,,1,缓慢匀速形变阶段,-19.566290865054643,20.204290865054645
124,2024-05-04 20:30:00,0.609,False,False,0.037127931714308025,0.609,0.644,-0.17400000000000015,0.024333333333333332,,1,缓慢匀速形变阶段,-19.537068736070758,20.14606873607076
125,2024-05-04 20:40:00,0.648,False,False,0.34619879689949135,0.648,0.647,0.2340000000000002,0.0017500000000000016,,1,缓慢匀速形变阶段,-19.507846607086876,20.155846607086875
126,2024-05-04 20:50:00,0.711,False,False,0.5321670212384144,0.711,0.647,0.37799999999999967,0.023999999999999997,,1,缓慢匀速形变阶段,-19.47862447810299,20.18962447810299
127,2024-05-04 21:00:00,0.801,False,False,0.6992427139528012,0.801,0.647,0.5400000000000005,0.02491666666666667,,1,缓慢匀速形变阶段,-19.449402349119104,20.250402349119103
128,2024-05-04 21:10:00,0.526,False,False,1.5841250864771412,0.526,0.648,-1.6500000000000001,-0.0009166666666666675,,1,缓慢匀速形变阶段,-19.420180220135222,19.946180220135222
129,2024-05-04 21:20:00,0.746,False,False,1.5207857690085496,0.746,0.651,1.3199999999999998,0.034833333333333334,,1,缓慢匀速形变阶段,-19.390958091151337,20.136958091151335
130,2024-05-04 21:30:00,0.595,False,False,0.8399318891595338,0.595,0.651,-0.9060000000000001,-0.001666666666666668,,1,缓慢匀速形变阶段,-19.361735962167455,19.956735962167453
131,2024-05-04 21:40:00,0.515,False,False,0.39184701264830724,0.515,0.653,-0.47999999999999976,0.025333333333333336,,1,缓慢匀速形变阶段,-19.33251383318357,19.84751383318357
132,2024-05-04 21:50:00,0.771,False,False,1.7665234176767965,0.771,0.659,1.536,0.02775,,1,缓慢匀速形变阶段,-19.303291704199687,20.074291704199688
133,2024-05-04 22:00:00,0.575,False,False,1.1922816455394374,0.575,0.67,-1.1760000000000004,0.01258333333333333,,1,缓慢匀速形变阶段,-19.2740695752158,19.8490695752158
134,2024-05-04 22:10:00,0.748,False,False,1.3217293670551462,0.748,0.67,1.0380000000000003,0.03875,,1,缓慢匀速形变阶段,-19.244847446231915,19.992847446231917
135,2024-05-04 22:20:00,0.761,False,False,0.20555908860239105,0.761,0.676,0.07800000000000007,0.0365,,1,缓慢匀速形变阶段,-19.215625317248033,19.976625317248033
136,2024-05-04 22:30:00,0.851,False,False,0.7426211392217059,0.851,0.676,0.5399999999999998,0.042666666666666665,,1,缓慢匀速形变阶段,-19.186403188264148,20.037403188264147
137,2024-05-04 22:40:00,0.784,False,False,0.32702582277653064,0.784,0.676,-0.4019999999999997,0.043666666666666666,,1,缓慢匀速形变阶段,-19.157181059280266,19.941181059280265
138,2024-05-04 22:50:00,0.793,False,False,0.10920326582002024,0.793,0.678,0.05400000000000005,0.044000000000000004,,1,缓慢匀速形变阶段,-19.12795893029638,19.92095893029638
139,2024-05-04 23:00:00,0.785,False,False,0.0,0.785,0.679,-0.04800000000000004,0.03375,,1,缓慢匀速形变阶段,-19.098736801312494,19.883736801312494
140,2024-05-04 23:10:00,0.693,False,False,0.5445429984765178,0.693,0.679,-0.5520000000000005,0.027249999999999996,,1,缓慢匀速形变阶段,-19.069514672328612,19.762514672328614
141,2024-05-04 23:20:00,0.809,False,False,0.7673105887623659,0.809,0.682,0.6960000000000006,0.038000000000000006,,1,缓慢匀速形变阶段,-19.040292543344727,19.849292543344728
142,2024-05-04 23:30:00,0.651,False,False,0.8601304180481353,0.651,0.691,-0.9480000000000002,0.012250000000000002,,1,缓慢匀速形变阶段,-19.011070414360844,19.662070414360844
143,2024-05-04 23:40:00,0.619,False,False,0.0680678748095654,0.619,0.693,-0.19200000000000017,0.022500000000000003,,1,缓慢匀速形变阶段,-18.98184828537696,19.60084828537696
144,2024-05-04 23:50:00,0.747,False,False,0.8774348817969859,0.747,0.703,0.768,0.024416666666666666,,1,缓慢匀速形变阶段,-18.952626156393073,19.699626156393073
145,2024-05-05 00:00:00,0.815,False,False,0.531236084897494,0.815,0.703,0.4079999999999997,0.031999999999999994,8.333333333333283e-05,1,缓慢匀速形变阶段,-18.92340402740919,19.738404027409192
146,2024-05-05 00:10:00,0.678,False,False,0.7043354833472396,0.678,0.708,-0.8219999999999994,0.023000000000000003,-0.0003958333333333331,1,缓慢匀速形变阶段,-18.894181898425305,19.572181898425306
147,2024-05-05 00:20:00,0.659,False,False,0.011937889548257658,0.659,0.708,-0.1140000000000001,-0.036916666666666674,-0.008756944444444444,1,缓慢匀速形变阶段,-18.86495976944142,19.52395976944142
148,2024-05-05 00:30:00,0.558,False,False,0.48945347147859053,0.558,0.711,-0.6059999999999999,0.011166666666666672,4.166666666666714e-05,1,缓慢匀速形变阶段,-18.835737640457538,19.393737640457537
149,2024-05-05 00:40:00,0.976,False,False,2.704151026525432,0.976,0.714,2.5079999999999996,0.049749999999999996,0.0038194444444444443,1,缓慢匀速形变阶段,-18.806515511473656,19.782515511473655
150,2024-05-05 00:50:00,0.641,False,False,1.8742486590765552,0.641,0.714,-2.01,0.008416666666666664,-0.000506944444444445,1,缓慢匀速形变阶段,-18.77729338248977,19.41829338248977
151,2024-05-05 01:00:00,0.837,False,False,1.2952610159860258,0.837,0.714,1.1759999999999997,0.026999999999999996,-5.555555555555609e-05,1,缓慢匀速形变阶段,-18.748071253505884,19.585071253505884
152,2024-05-05 01:10:00,0.679,False,False,0.829683323603952,0.679,0.717,-0.9479999999999995,0.023750000000000004,0.0015486111111111115,1,缓慢匀速形变阶段,-18.718849124522002,19.397849124522
153,2024-05-05 01:20:00,0.0,True,False,3.939503550925243,0.6285000000000001,0.719,-4.074000000000001,0.02195833333333334,0.0016145833333333342,1,缓慢匀速形变阶段,-18.689626995538116,18.689626995538116
154,2024-05-05 01:30:00,0.578,False,False,3.5634600301551056,0.578,0.729,3.468,0.017666666666666664,0.001673611111111111,1,缓慢匀速形变阶段,-18.66040486655423,19.23840486655423
155,2024-05-05 01:40:00,0.861,False,False,1.7369629292715845,0.861,0.731,1.6980000000000002,0.035583333333333335,0.002763888888888889,1,缓慢匀速形变阶段,-18.63118273757035,19.49218273757035
156,2024-05-05 01:50:00,0.758,False,False,0.48014596437316975,0.758,0.731,-0.6179999999999999,0.015916666666666673,-0.0011597222222222217,1,缓慢匀速形变阶段,-18.601960608586463,19.359960608586462
157,2024-05-05 02:00:00,0.604,False,False,0.7525310126391765,0.604,0.739,-0.9240000000000002,0.001666666666666668,-0.0022222222222222222,1,缓慢匀速形变阶段,-18.572738479602577,19.176738479602577
