时间,表面位移_mm,降雨量_mm,孔隙水压力_kPa,微震事件数,爆破点距离_m,单段最大药量_kg,时间解析,是否爆破,爆破字段冲突标记,原始增量_表面位移_mm,原始速度_表面位移_mm_mm_h,原始加速度_表面位移_mm_mm_h2,突变候选标记_表面位移_mm,突变候选标记_孔隙水压力_kPa,阶段标签,稳健趋势位移_mm,滚动72点速度_mm_h,滚动72点加速度_mm_h2,阶段内序号,阶段内相对进程,阶段进程步长,阶段内时间_h,爆破距离_建模,单段最大药量_建模,爆破强度,爆破强度_1h衰减,降雨量_1h累计,降雨量_6h累计,微震事件数_1h累计,微震事件数_6h累计,阶段进程平方,位移增量_mm,阶段归一化位移斜率_mm,阶段内相对进程_模型输入,阶段进程平方_模型输入,降雨量_mm_模型输入,降雨量_1h累计_模型输入,降雨量_6h累计_模型输入,孔隙水压力_kPa_模型输入,微震事件数_模型输入,微震事件数_1h累计_模型输入,微震事件数_6h累计_模型输入,是否爆破_模型输入,爆破强度_模型输入,爆破强度_1h衰减_模型输入,阶段趋势位移_mm,阶段趋势增量_mm,阶段归一化残差斜率_mm,岭回归预测增量_mm,岭回归累加拟合位移_mm
2023-05-01 18:20,0.357,0.0,33.28,0,,,2023-05-01 18:20:00,0,0,-0.03600000000000003,-0.2160000000000002,-3.816000000000002,0,0,1,0.423,,,10,0.0015595757953836558,0.00015595757953836556,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4322766615465623e-06,-0.03600000000000003,-230.8320000000002,0.0015595757953836558,2.4322766615465623e-06,0.0,0.0,0.0,33.28,0,0.0,1.0,0,0.0,0.0,0.08465621711212835,0.0022640000198897864,-245.3487681275335,-0.0021541022830288137,0.3505602394868373
2023-05-01 18:30,0.42,0.0,32.93,1,,,2023-05-01 18:30:00,0,0,0.063,0.378,3.564000000000001,0,0,1,0.4395,,,11,0.0017155333749220212,0.00015595757953836556,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.94305476047134e-06,0.063,403.956,0.0017155333749220212,2.94305476047134e-06,0.0,0.0,0.0,32.93,1,1.0,2.0,0,0.0,0.0,0.08692021713201814,0.0022640000198897864,389.4392318724667,-0.002607493829463383,0.34795274565737394
2023-05-01 18:40,0.378,0.0,32.8,0,,,2023-05-01 18:40:00,0,0,-0.04199999999999998,-0.2519999999999999,-3.779999999999999,0,0,1,0.456,,,12,0.0018714909544603868,0.00015595757953836556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.5024783926270495e-06,-0.04199999999999998,-269.30399999999986,0.0018714909544603868,3.5024783926270495e-06,0.0,0.0,0.0,32.8,0,1.0,2.0,0,0.0,0.0,0.08918421715190791,0.0022640000198897725,-283.8207681275331,-0.002106058129165587,0.34584668752820835
2023-05-01 18:50,0.318,0.0,32.83,0,,,2023-05-01 18:50:00,0,0,-0.06,-0.36,-0.6480000000000006,0,0,1,0.46699999999999997,,,13,0.002027448533998752,0.00015595757953836556,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.1105475580136895e-06,-0.06,-384.71999999999997,0.002027448533998752,4.1105475580136895e-06,0.0,0.0,0.0,32.83,0,1.0,2.0,0,0.0,0.0,0.09144821717179769,0.0022640000198897725,-399.2367681275332,-0.0021057215018778592,0.3437409660263305
2023-05-01 19:00,0.421,0.0,32.93,0,,,2023-05-01 19:00:00,0,0,0.103,0.6179999999999999,5.867999999999999,0,0,1,0.478,,,14,0.002183406113537118,0.00015595757953836556,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.767262256631261e-06,0.10299999999999998,660.4359999999999,0.002183406113537118,4.767262256631261e-06,0.0,0.0,0.0,32.93,0,1.0,2.0,0,0.0,0.0,0.09371221719168747,0.0022640000198897864,645.9192318724665,-0.0021054287295210056,0.34163553729680946
2023-05-01 19:10,0.28,0.0,33.27,1,,,2023-05-01 19:10:00,0,0,-0.141,-0.8459999999999998,-8.783999999999997,0,0,1,0.484,,,15,0.0023393636930754834,0.00015595757953836556,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.472622488479765e-06,-0.14099999999999996,-904.0919999999998,0.0023393636930754834,5.472622488479765e-06,0.0,0.0,0.0,33.27,1,2.0,3.0,0,0.0,0.0,0.09597621721157726,0.0022640000198897864,-918.6087681275332,-0.0025592539471574957,0.33907628334965195
2023-05-01 19:20,0.542,0.0,33.13,1,,,2023-05-01 19:20:00,0,0,0.262,1.572,14.508,0,0,1,0.49,,,16,0.002495321272613849,0.00015595757953836556,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.226628253559199e-06,0.262,1679.944,0.002495321272613849,6.226628253559199e-06,0.0,0.0,0.0,33.13,1,3.0,4.0,0,0.0,0.0,0.09824021723146703,0.0022640000198897725,1665.4272318724666,-0.002511778056084578,0.3365645052935674
2023-05-01 19:30,0.518,0.0,33.12,1,,,2023-05-01 19:30:00,0,0,-0.02400000000000002,-0.1440000000000001,-10.296,0,0,1,0.484,,,17,0.0026512788521522146,0.00015595757953836556,2.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.029279551869565e-06,-0.02400000000000002,-153.88800000000015,0.0026512788521522146,7.029279551869565e-06,0.0,0.0,0.0,33.12,1,3.0,5.0,0,0.0,0.0,0.10050421725135682,0.0022640000198897864,-168.40476812753346,-0.002567773918092494,0.3339967313754749
2023-05-01 19:40,0.195,0.0,33.02,0,,,2023-05-01 19:40:00,0,0,-0.323,-1.938,-10.764,0,0,1,0.49,,,18,0.0028072364316905803,0.00015595757953836556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.880576383410863e-06,-0.323,-2071.076,0.0028072364316905803,7.880576383410863e-06,0.0,0.0,0.0,33.02,0,3.0,5.0,0,0.0,0.0,0.1027682172712466,0.0022640000198897864,-2085.5927681275334,-0.0020663556935347086,0.33193037568194017
2023-05-01 19:50,0.611,0.0,32.96,0,,,2023-05-01 19:50:00,0,0,0.416,2.496,26.604,0,0,1,0.4905,,,19,0.002963194011228946,0.00015595757953836556,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.78051874818309e-06,0.416,2667.392,0.002963194011228946,8.78051874818309e-06,0.0,0.0,0.0,32.96,0,3.0,5.0,0,0.0,0.0,0.10503221729113638,0.0022640000198897725,2652.875231872467,-0.0020659609561884725,0.32986441472575173
2023-05-01 20:00,0.491,0.0,32.94,1,,,2023-05-01 20:00:00,0,0,-0.12,-0.72,-19.296,0,0,1,0.491,,,20,0.0031191515907673115,0.00015595757953836556,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.72910664618625e-06,-0.12,-769.4399999999999,0.0031191515907673115,9.72910664618625e-06,0.0,0.0,0.0,32.94,1,4.0,6.0,0,0.0,0.0,0.10729621731102616,0.0022640000198897864,-783.9567681275333,-0.002519558232504622,0.32734485649324707
2023-05-01 20:10,0.334,0.0,32.76,4,,,2023-05-01 20:10:00,0,0,-0.157,-0.9419999999999998,-1.331999999999999,0,0,1,0.493,,,21,0.0032751091703056767,0.00015595757953836556,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,1.0726340077420338e-05,-0.15699999999999997,-1006.6839999999999,0.0032751091703056767,1.0726340077420338e-05,0.0,0.0,0.0,32.76,4,7.0,10.0,0,0.0,0.0,0.10956021733091593,0.0022640000198897725,-1021.200768127533,-0.003937347233035049,0.32340750926021206
2023-05-01 20:20,0.527,0.0,32.89,1,,,2023-05-01 20:20:00,0,0,0.193,1.158,12.6,0,0,1,0.491,,,22,0.0034310667498440423,0.00015595757953836556,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,1.177221904188536e-05,0.193,1237.516,0.0034310667498440423,1.177221904188536e-05,0.0,0.0,0.0,32.89,1,7.0,11.0,0,0.0,0.0,0.11182421735080572,0.0022640000198897864,1222.9992318724667,-0.0024904345083590646,0.320917074751853
2023-05-01 20:30,0.341,0.0,32.86,2,,,2023-05-01 20:30:00,0,0,-0.186,-1.116,-13.644,0,0,1,0.493,,,23,0.003587024329382408,0.00015595757953836556,3.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.2866743539581313e-05,-0.186,-1192.632,0.003587024329382408,1.2866743539581313e-05,0.0,0.0,0.0,32.86,2,8.0,13.0,0,0.0,0.0,0.1140882173706955,0.0022640000198897725,-1207.1487681275332,-0.003000383407205473,0.3179166913446475
2023-05-01 20:40,0.347,0.0,33.0,0,,,2023-05-01 20:40:00,0,0,0.00599999999999995,0.0359999999999997,6.911999999999998,0,0,1,0.495,,,24,0.0037429819089207735,0.00015595757953836556,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.4009913570508198e-05,0.00599999999999995,38.47199999999968,0.0037429819089207735,1.4009913570508198e-05,0.0,0.0,0.0,33.0,0,8.0,13.0,0,0.0,0.0,0.11635221739058528,0.0022640000198897864,23.955231872466367,-0.001998116404804872,0.31591857493984266
2023-05-01 20:50,0.635,0.0,32.85,0,,,2023-05-01 20:50:00,0,0,0.288,1.728,10.152,0,0,1,0.4975,,,25,0.003898939488459139,0.00015595757953836556,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.5201729134666014e-05,0.28800000000000003,1846.6560000000002,0.003898939488459139,1.5201729134666014e-05,0.0,0.0,0.0,32.85,0,8.0,13.0,0,0.0,0.0,0.11861621741047507,0.0022640000198897864,1832.1392318724668,-0.0019976635574000976,0.31392091138244255
2023-05-01 21:00,0.838,0.0,32.64,0,,,2023-05-01 21:00:00,0,0,0.203,1.218,-3.060000000000003,0,0,1,0.5,,,26,0.004054897067997504,0.00015595757953836556,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,1.6442190232054758e-05,0.20299999999999996,1301.6359999999997,0.004054897067997504,1.6442190232054758e-05,0.0,0.0,0.0,32.64,0,7.0,13.0,0,0.0,0.0,0.12088021743036484,0.0022640000198897725,1287.1192318724666,-0.0021005627855618294,0.3118203485968807
2023-05-01 21:10,0.524,0.0,32.62,1,,,2023-05-01 21:10:00,0,0,-0.3139999999999999,-1.884,-18.612,0,0,1,0.509,,,27,0.00421085464753587,0.00015595757953836556,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.773129686267444e-05,-0.31399999999999995,-2013.3679999999997,0.00421085464753587,1.773129686267444e-05,0.0,0.0,0.0,32.62,1,4.0,14.0,0,0.0,0.0,0.12314421745025463,0.0022640000198897864,-2027.884768127533,-0.002967718825386239,0.30885262977149447
2023-05-01 21:20,0.548,0.0,32.4,1,,,2023-05-01 21:20:00,0,0,0.02400000000000002,0.1440000000000001,12.168,0,0,1,0.518,,,28,0.004366812227074236,0.00015595757953836556,4.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,1.9069049026525044e-05,0.02400000000000002,153.88800000000015,0.004366812227074236,1.9069049026525044e-05,0.0,0.0,0.0,32.4,1,4.0,15.0,0,0.0,0.0,0.1254082174701444,0.0022640000198897864,139.37123187246684,-0.0030235798076124172,0.30582904996388205
2023-05-01 21:30,0.411,0.0,31.95,0,,,2023-05-01 21:30:00,0,0,-0.1370000000000001,-0.8220000000000004,-5.796000000000004,0,0,1,0.519,,,29,0.004522769806612602,0.00015595757953836556,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.045544672360659e-05,-0.13700000000000007,-878.4440000000004,0.004522769806612602,2.045544672360659e-05,0.0,0.0,0.0,31.95,0,2.0,15.0,0,0.0,0.0,0.12767221749003418,0.0022640000198897725,-892.9607681275337,-0.0027287187303426576,0.3031003312335394
2023-05-01 21:40,0.246,0.0,32.12,1,,,2023-05-01 21:40:00,0,0,-0.165,-0.9899999999999999,-1.007999999999997,0,0,1,0.52,,,30,0.004678727386150967,0.00015595757953836556,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,2.189048995391906e-05,-0.16499999999999998,-1057.9799999999998,0.004678727386150967,2.189048995391906e-05,0.0,0.0,0.0,32.12,1,3.0,16.0,0,0.0,0.0,0.12993621750992396,0.0022640000198897725,-1072.4967681275332,-0.003182433316323838,0.29991789791721557
2023-05-01 21:50,0.478,0.0,31.58,0,,,2023-05-01 21:50:00,0,0,0.232,1.392,14.292,0,0,1,0.52,,,31,0.004834684965689333,0.00015595757953836556,5.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,2.3374178717462467e-05,0.23199999999999998,1487.5839999999998,0.004834684965689333,2.3374178717462467e-05,0.0,0.0,0.0,31.58,0,3.0,16.0,0,0.0,0.0,0.13220021752981376,0.0022640000198898003,1473.0672318724664,-0.0026807348656338525,0.2972371630515817
2023-05-01 22:00,0.619,0.8,32.31,2,,,2023-05-01 22:00:00,0,0,0.141,0.8460000000000001,-3.275999999999999,0,0,1,0.524,,,32,0.004990642545227698,0.00015595757953836556,5.333333333333333,0.0,0.0,0.0,0.0,0.8,0.8,5.0,18.0,2.4906513014236796e-05,0.14100000000000001,904.0920000000001,0.004990642545227698,2.4906513014236796e-05,0.8,0.8,0.8,32.31,2,5.0,18.0,0,0.0,0.0,0.13446421754970353,0.0022640000198897725,889.5752318724668,-0.0016865789246330934,0.2955505841269486
2023-05-01 22:10,0.53,0.0,32.29,0,,,2023-05-01 22:10:00,0,0,-0.08899999999999997,-0.5339999999999998,-8.28,0,0,1,0.526,,,33,0.005146600124766063,0.00015595757953836556,5.5,0.0,0.0,0.0,0.0,0.8,0.8,4.0,18.0,2.6487492844242057e-05,-0.08899999999999997,-570.6679999999998,0.005146600124766063,2.6487492844242057e-05,0.0,0.8,0.8,32.29,0,4.0,18.0,0,0.0,0.0,0.1367282175695933,0.0022640000198897725,-585.1847681275331,-0.002361455809051229,0.2931891283178974
2023-05-01 22:20,0.29,0.0,32.21,1,,,2023-05-01 22:20:00,0,0,-0.24,-1.44,-5.436000000000003,0,0,1,0.527,,,34,0.005302557704304429,0.00015595757953836556,5.666666666666666,0.0,0.0,0.0,0.0,0.8,0.8,4.0,19.0,2.811711820747826e-05,-0.24000000000000005,-1538.8800000000003,0.005302557704304429,2.811711820747826e-05,0.0,0.8,0.8,32.21,1,4.0,19.0,0,0.0,0.0,0.1389922175894831,0.0022640000198898003,-1553.3967681275337,-0.0029184020827296977,0.2902707262351677
2023-05-01 22:30,0.49,0.0,31.87,1,,,2023-05-01 22:30:00,0,0,0.2,1.2,15.84,0,0,1,0.53,,,35,0.0054585152838427945,0.00015595757953836556,5.833333333333333,0.0,0.0,0.0,0.0,0.8,0.8,5.0,20.0,2.9795389103945382e-05,0.2,1282.4,0.0054585152838427945,2.9795389103945382e-05,0.0,0.8,0.8,31.87,1,5.0,20.0,0,0.0,0.0,0.14125621760937285,0.0022640000198897448,1267.883231872467,-0.002870795716412135,0.28739993051875556
2023-05-01 22:40,0.605,0.0,32.46,1,,,2023-05-01 22:40:00,0,0,0.115,0.69,-3.060000000000001,0,0,1,0.531,,,36,0.0056144728633811605,0.00015595757953836556,6.0,0.0,0.0,0.0,0.0,0.8,0.8,5.0,21.0,3.152230553364345e-05,0.11499999999999999,737.38,0.0056144728633811605,3.152230553364345e-05,0.0,0.8,0.8,32.46,1,5.0,21.0,0,0.0,0.0,0.14352021762926265,0.0022640000198898003,722.8632318724666,-0.002927165008498987,0.2844727655102566
2023-05-01 22:50,0.531,0.0,32.05,1,,,2023-05-01 22:50:00,0,0,-0.07399999999999995,-0.4439999999999997,-6.803999999999998,0,0,1,0.531,,,37,0.005770430442919526,0.00015595757953836556,6.166666666666666,0.0,0.0,0.0,0.0,0.8,0.8,6.0,21.0,3.329786749657244e-05,-0.07399999999999995,-474.4879999999997,0.005770430442919526,3.329786749657244e-05,0.0,0.8,0.8,32.05,1,6.0,21.0,0,0.0,0.0,0.14578421764915245,0.0022640000198898003,-489.0047681275331,-0.002823155445194097,0.2816496100650625
2023-05-01 23:00,0.563,0.0,31.65,0,,,2023-05-01 23:00:00,0,0,0.03199999999999992,0.1919999999999995,3.815999999999995,0,0,1,0.531,,,38,0.005926388022457892,0.00015595757953836556,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.8,4.0,21.0,3.512207499273236e-05,0.03199999999999992,205.18399999999946,0.005926388022457892,3.512207499273236e-05,0.0,0.0,0.8,31.65,0,4.0,21.0,0,0.0,0.0,0.14804821766904222,0.0022640000198897725,190.66723187246626,-0.003005108449559971,0.2786445016155025
2023-05-01 23:10,0.407,0.0,31.33,2,,,2023-05-01 23:10:00,0,0,-0.156,-0.9359999999999998,-6.767999999999995,0,0,1,0.542,,,39,0.006082345601996257,0.00015595757953836556,6.5,0.0,0.0,0.0,0.0,0.0,0.8,6.0,23.0,3.699492802212321e-05,-0.15599999999999997,-1000.2719999999998,0.006082345601996257,3.699492802212321e-05,0.0,0.0,0.8,31.33,2,6.0,23.0,0,0.0,0.0,0.150312217688932,0.0022640000198897725,-1014.788768127533,-0.003912479317647158,0.27473202229785537
2023-05-01 23:20,0.705,0.0,30.89,0,,,2023-05-01 23:20:00,0,0,0.298,1.788,16.344,0,0,1,0.548,,,40,0.006238303181534623,0.00015595757953836556,6.666666666666666,0.0,0.0,0.0,0.0,0.0,0.8,5.0,23.0,3.8916426584745e-05,0.298,1910.7759999999998,0.006238303181534623,3.8916426584745e-05,0.0,0.0,0.8,30.89,0,5.0,23.0,0,0.0,0.0,0.1525762177088218,0.0022640000198898003,1896.2592318724664,-0.0030132333005786225,0.27171878899727675
2023-05-01 23:30,0.574,0.0,30.35,2,,,2023-05-01 23:30:00,0,0,-0.131,-0.786,-15.444,0,0,1,0.553,,,41,0.006394260761072988,0.00015595757953836556,6.833333333333333,0.0,0.0,0.0,0.0,0.0,0.8,6.0,25.0,4.088657068059771e-05,-0.131,-839.972,0.006394260761072988,4.088657068059771e-05,0.0,0.0,0.8,30.35,2,6.0,25.0,0,0.0,0.0,0.15484021772871154,0.0022640000198897448,-854.488768127533,-0.00402385522638269,0.26769493377089404
2023-05-01 23:40,0.52,0.0,30.06,1,,,2023-05-01 23:40:00,0,0,-0.05399999999999994,-0.3239999999999996,2.772000000000002,0,0,1,0.563,,,42,0.006550218340611353,0.00015595757953836556,7.0,0.0,0.0,0.0,0.0,0.0,0.8,6.0,26.0,4.290536030968135e-05,-0.05399999999999994,-346.2479999999996,0.006550218340611353,4.290536030968135e-05,0.0,0.0,0.8,30.06,1,6.0,26.0,0,0.0,0.0,0.15710421774860134,0.0022640000198898003,-360.764768127533,-0.0035786702731736113,0.26411626349772044
2023-05-01 23:50,0.777,0.0,29.94,0,,,2023-05-01 23:50:00,0,0,0.257,1.542,11.196,0,0,1,0.574,,,43,0.006706175920149719,0.00015595757953836556,7.166666666666666,0.0,0.0,0.0,0.0,0.0,0.8,5.0,26.0,4.4972795471995934e-05,0.257,1647.884,0.006706175920149719,4.4972795471995934e-05,0.0,0.0,0.8,29.94,0,5.0,26.0,0,0.0,0.0,0.1593682177684911,0.0022640000198897725,1633.3672318724666,-0.0031806236366100802,0.26093563986111035
2023-05-02 00:00,0.526,0.0,30.01,3,,,2023-05-02 00:00:00,0,0,-0.251,-1.506,-18.288,0,0,1,0.583,,,44,0.006862133499688085,0.00015595757953836556,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.8,8.0,29.0,4.708887616754144e-05,-0.251,-1609.412,0.006862133499688085,4.708887616754144e-05,0.0,0.0,0.8,30.01,3,8.0,29.0,0,0.0,0.0,0.16163221778838088,0.0022640000198897725,-1623.9287681275334,-0.0045422060297990435,0.2563934338313113
2023-05-02 00:10,0.757,0.0,29.71,1,,,2023-05-02 00:10:00,0,0,0.231,1.386,17.352,0,0,1,0.583,,,45,0.007018091079226451,0.00015595757953836556,7.5,0.0,0.0,0.0,0.0,0.0,0.8,7.0,30.0,4.9253602396317884e-05,0.23099999999999998,1481.1719999999998,0.007018091079226451,4.9253602396317884e-05,0.0,0.0,0.8,29.71,1,7.0,30.0,0,0.0,0.0,0.16389621780827068,0.0022640000198898003,1466.6552318724664,-0.003699405643939055,0.25269402818737224
2023-05-02 00:20,0.5,0.0,29.79,0,,,2023-05-02 00:20:00,0,0,-0.257,-1.542,-17.568,0,0,1,0.585,,,46,0.007174048658764816,0.00015595757953836556,7.666666666666666,0.0,0.0,0.0,0.0,0.0,0.8,7.0,30.0,5.146697415832525e-05,-0.257,-1647.884,0.007174048658764816,5.146697415832525e-05,0.0,0.0,0.8,29.79,0,7.0,30.0,0,0.0,0.0,0.16616021782816046,0.0022640000198897725,-1662.4007681275334,-0.003198094168100932,0.2494959340192713
2023-05-02 00:30,0.389,0.0,29.86,0,,,2023-05-02 00:30:00,0,0,-0.111,-0.6659999999999999,5.256000000000001,0,0,1,0.587,,,47,0.007330006238303182,0.00015595757953836556,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.8,5.0,29.0,5.372899145356356e-05,-0.11099999999999999,-711.732,0.007330006238303182,5.372899145356356e-05,0.0,0.0,0.8,29.86,0,5.0,29.0,0,0.0,0.0,0.16842421784805023,0.0022640000198897725,-726.2487681275331,-0.0033481962641914104,0.2461477377550799
