编号,a_降雨量_mm,b_孔隙水压力_kPa,c_微震事件数,d_深部位移_mm,e_表面位移_mm,缺失标记_a_降雨量_mm,缺失标记_b_孔隙水压力_kPa,缺失标记_c_微震事件数,缺失标记_d_深部位移_mm,缺失标记_e_表面位移_mm,突变候选标记_b_孔隙水压力_kPa,突变候选标记_d_深部位移_mm,突变候选标记_e_表面位移_mm,a_原始缺失,a_补齐值,a_建模值,a_是否插补,b_原始缺失,b_补齐值,b_建模值,b_是否插补,c_原始缺失,c_补齐值,c_建模值,c_是否插补,d_原始缺失,d_补齐值,d_建模值,d_是否插补,e_原始缺失,e_补齐值,e_建模值,e_是否插补,a异常,b异常,c异常,d异常,e异常,异常变量数量,共同异常,异常变量编码
44,0.0,82.57,2.0,38.039,102.548,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,82.57,82.57,False,False,2.0,2.0,False,False,38.039,38.039,False,False,102.548,102.548,False,False,False,False,False,False,0,False,
45,0.1,90.12,3.0,36.919,113.124,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,90.12,90.12,False,False,3.0,3.0,False,False,36.919,36.919,False,False,113.124,113.124,False,False,False,False,False,False,0,False,
46,13.5,84.99,1.0,38.213,125.368,0,0,0,0,0,0,0,0,False,13.5,13.5,False,False,84.99,84.99,False,False,1.0,1.0,False,False,38.213,38.213,False,False,125.368,125.368,False,False,False,False,False,False,0,False,
47,0.1,81.64,3.0,39.081,108.756,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,81.64,81.64,False,False,3.0,3.0,False,False,39.081,39.081,False,False,108.756,108.756,False,False,False,False,False,False,0,False,
48,0.0,81.72,3.0,28.629,99.673,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,81.72,81.72,False,False,3.0,3.0,False,False,28.629,28.629,False,False,99.673,99.673,False,False,False,False,False,False,0,False,
49,0.2,99.16,1.0,42.767,113.267,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,99.16,99.16,False,False,1.0,1.0,False,False,42.767,42.767,False,False,113.267,113.267,False,False,False,False,False,False,0,False,
50,0.3,62.28,1.0,24.429,74.618,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,62.28,62.28,False,False,1.0,1.0,False,False,24.429,24.429,False,False,74.618,74.618,False,False,False,False,False,False,0,False,
51,0.7,88.38,1.0,34.962,104.192,0,0,0,0,0,0,0,0,False,0.7,0.7,False,False,88.38,88.38,False,False,1.0,1.0,False,False,34.962,34.962,False,False,104.192,104.192,False,False,False,False,False,False,0,False,
52,0.0,72.07,0.0,31.62,88.236,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,72.07,72.07,False,False,0.0,0.0,False,False,31.62,31.62,False,False,88.236,88.236,False,False,False,False,False,False,0,False,
53,0.0,67.85,1.0,30.136,87.753,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,67.85,67.85,False,False,1.0,1.0,False,False,30.136,30.136,False,False,87.753,87.753,False,False,False,False,False,False,0,False,
54,0.0,74.9,4.0,33.085,100.342,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,74.9,74.9,False,False,4.0,4.0,False,False,33.085,33.085,False,False,100.342,100.342,False,False,False,False,False,False,0,False,
55,11.3,101.98,0.0,,135.493,0,0,0,1,0,0,0,0,False,11.3,11.3,False,False,101.98,101.98,False,False,0.0,0.0,False,True,31.414500000000004,31.414500000000004,True,False,135.493,135.493,False,False,False,False,False,False,0,False,
56,0.3,72.1,2.0,29.744,90.213,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,72.1,72.1,False,False,2.0,2.0,False,False,29.744,29.744,False,False,90.213,90.213,False,False,False,False,False,False,0,False,
57,0.0,,2.0,35.259,111.368,0,1,0,0,0,0,0,0,False,0.0,0.0,False,True,62.45632597046138,62.45632597046138,True,False,2.0,2.0,False,False,35.259,35.259,False,False,111.368,111.368,False,False,False,False,False,False,0,False,
58,0.0,58.7,2.0,22.939,78.022,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,58.7,58.7,False,False,2.0,2.0,False,False,22.939,22.939,False,False,78.022,78.022,False,False,False,False,False,False,0,False,
59,,80.06,1.0,33.523,94.553,1,0,0,0,0,0,0,0,True,0.0,0.0,True,False,80.06,80.06,False,False,1.0,1.0,False,False,33.523,33.523,False,False,94.553,94.553,False,False,False,False,False,False,0,False,
60,0.6,59.17,0.0,22.409,72.375,0,0,0,0,0,0,0,0,False,0.6,0.6,False,False,59.17,59.17,False,False,0.0,0.0,False,False,22.409,22.409,False,False,72.375,72.375,False,False,False,False,False,False,0,False,
61,0.0,58.02,0.0,26.83,74.792,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,58.02,58.02,False,False,0.0,0.0,False,False,26.83,26.83,False,False,74.792,74.792,False,False,False,False,False,False,0,False,
62,0.0,86.22,1.0,35.922,102.768,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,86.22,86.22,False,False,1.0,1.0,False,False,35.922,35.922,False,False,102.768,102.768,False,False,False,False,False,False,0,False,
63,0.8,89.55,1.0,33.84,101.487,0,0,0,0,0,0,0,0,False,0.8,0.8,False,False,89.55,89.55,False,False,1.0,1.0,False,False,33.84,33.84,False,False,101.487,101.487,False,False,False,False,False,False,0,False,
64,0.2,95.06,1.0,,105.536,0,0,0,1,0,0,0,0,False,0.2,0.2,False,False,95.06,95.06,False,False,1.0,1.0,False,True,40.169000000000004,40.169000000000004,True,False,105.536,105.536,False,False,False,False,False,False,0,False,
65,14.3,100.62,0.0,46.498,138.645,0,0,0,0,0,0,0,0,False,14.3,14.3,False,False,100.62,100.62,False,False,0.0,0.0,False,False,46.498,46.498,False,False,138.645,138.645,False,False,False,False,False,False,0,False,
66,0.0,74.28,1.0,33.691,90.472,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,74.28,74.28,False,False,1.0,1.0,False,False,33.691,33.691,False,False,90.472,90.472,False,False,False,False,False,False,0,False,
67,1.8,86.71,0.0,,100.771,0,0,0,1,0,0,0,0,False,1.8,1.8,False,False,86.71,86.71,False,False,0.0,0.0,False,True,31.97687861247552,31.97687861247552,True,False,100.771,100.771,False,False,False,False,False,False,0,False,
68,0.8,73.48,1.0,31.103,88.784,0,0,0,0,0,0,0,0,False,0.8,0.8,False,False,73.48,73.48,False,False,1.0,1.0,False,False,31.103,31.103,False,False,88.784,88.784,False,False,False,False,False,False,0,False,
69,0.0,71.58,3.0,30.374,92.181,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,71.58,71.58,False,False,3.0,3.0,False,False,30.374,30.374,False,False,92.181,92.181,False,False,False,False,False,False,0,False,
70,5.4,83.4,,35.314,107.088,0,0,1,0,0,0,0,0,False,5.4,5.4,False,False,83.4,83.4,False,True,0.0,0.0,True,False,35.314,35.314,False,False,107.088,107.088,False,False,False,False,False,False,0,False,
71,1.1,77.28,1.0,32.297,93.483,0,0,0,0,0,0,0,0,False,1.1,1.1,False,False,77.28,77.28,False,False,1.0,1.0,False,False,32.297,32.297,False,False,93.483,93.483,False,False,False,False,False,False,0,False,
72,0.0,69.58,0.0,28.161,84.719,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,69.58,69.58,False,False,0.0,0.0,False,False,28.161,28.161,False,False,84.719,84.719,False,False,False,False,False,False,0,False,
73,0.3,78.49,0.0,,91.918,0,0,0,1,0,0,0,0,False,0.3,0.3,False,False,78.49,78.49,False,False,0.0,0.0,False,True,32.261,32.261,True,False,91.918,91.918,False,False,False,False,False,False,0,False,
74,0.3,91.39,1.0,36.361,106.955,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,91.39,91.39,False,False,1.0,1.0,False,False,36.361,36.361,False,False,106.955,106.955,False,False,False,False,False,False,0,False,
75,0.0,82.2,0.0,33.784,93.822,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,82.2,82.2,False,False,0.0,0.0,False,False,33.784,33.784,False,False,93.822,93.822,False,False,False,False,False,False,0,False,
76,0.0,70.91,1.0,29.191,86.162,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,70.91,70.91,False,False,1.0,1.0,False,False,29.191,29.191,False,False,86.162,86.162,False,False,False,False,False,False,0,False,
77,0.4,92.33,1.0,37.579,110.207,0,0,0,0,0,0,0,0,False,0.4,0.4,False,False,92.33,92.33,False,False,1.0,1.0,False,False,37.579,37.579,False,False,110.207,110.207,False,False,False,False,False,False,0,False,
78,0.9,,4.0,31.499,99.81,0,1,0,0,0,0,0,0,False,0.9,0.9,False,True,85.515,85.515,True,False,4.0,4.0,False,False,31.499,31.499,False,False,99.81,99.81,False,False,False,False,False,False,0,False,
79,0.0,78.7,5.0,,106.589,0,0,0,1,0,0,0,0,False,0.0,0.0,False,False,78.7,78.7,False,False,5.0,5.0,False,True,35.056999999999995,35.056999999999995,True,False,106.589,106.589,False,False,False,False,False,False,0,False,
80,5.7,85.71,1.0,38.615,,0,0,0,0,1,0,0,0,False,5.7,5.7,False,False,85.71,85.71,False,False,1.0,1.0,False,False,38.615,38.615,False,True,97.23,97.23,True,False,False,False,False,False,0,False,
81,0.0,67.2,2.0,28.324,87.871,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,67.2,67.2,False,False,2.0,2.0,False,False,28.324,28.324,False,False,87.871,87.871,False,False,False,False,False,False,0,False,
82,4.8,106.66,1.0,43.847,128.71,0,0,0,0,0,0,0,0,False,4.8,4.8,False,False,106.66,106.66,False,False,1.0,1.0,False,False,43.847,43.847,False,False,128.71,128.71,False,False,False,False,False,False,0,False,
83,5.2,77.6,0.0,33.538,100.096,0,0,0,0,0,0,0,0,False,5.2,5.2,False,False,77.6,77.6,False,False,0.0,0.0,False,False,33.538,33.538,False,False,100.096,100.096,False,False,False,False,False,False,0,False,
84,0.5,76.8,3.0,32.858,96.942,0,0,0,0,0,0,0,0,False,0.5,0.5,False,False,76.8,76.8,False,False,3.0,3.0,False,False,32.858,32.858,False,False,96.942,96.942,False,False,False,False,False,False,0,False,
85,10.0,76.01,2.0,35.301,114.309,0,0,0,0,0,0,0,0,False,10.0,10.0,False,False,76.01,76.01,False,False,2.0,2.0,False,False,35.301,35.301,False,False,114.309,114.309,False,False,False,False,False,False,0,False,
86,0.2,77.56,2.0,32.402,97.288,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,77.56,77.56,False,False,2.0,2.0,False,False,32.402,32.402,False,False,97.288,97.288,False,False,False,False,False,False,0,False,
87,0.8,90.44,0.0,38.102,104.09,0,0,0,0,0,0,0,0,False,0.8,0.8,False,False,90.44,90.44,False,False,0.0,0.0,False,False,38.102,38.102,False,False,104.09,104.09,False,False,False,False,False,False,0,False,
88,0.9,87.55,3.0,38.643,,0,0,0,0,1,0,0,0,False,0.9,0.9,False,False,87.55,87.55,False,False,3.0,3.0,False,False,38.643,38.643,False,True,95.9135,95.9135,True,False,False,False,False,False,0,False,
89,,68.65,1.0,29.338,87.737,1,0,0,0,0,0,0,0,True,0.6000000000000001,0.6000000000000001,True,False,68.65,68.65,False,False,1.0,1.0,False,False,29.338,29.338,False,False,87.737,87.737,False,False,False,False,False,False,0,False,
90,11.6,69.47,5.0,31.058,115.065,0,0,0,0,0,0,0,0,False,11.6,11.6,False,False,69.47,69.47,False,False,5.0,5.0,False,False,31.058,31.058,False,False,115.065,115.065,False,False,False,False,False,False,0,False,
91,0.0,74.65,3.0,30.584,94.663,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,74.65,74.65,False,False,3.0,3.0,False,False,30.584,30.584,False,False,94.663,94.663,False,False,False,False,False,False,0,False,
92,0.4,71.07,0.0,29.027,84.949,0,0,0,0,0,0,0,0,False,0.4,0.4,False,False,71.07,71.07,False,False,0.0,0.0,False,False,29.027,29.027,False,False,84.949,84.949,False,False,False,False,False,False,0,False,
93,0.0,72.31,0.0,27.625,85.816,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,72.31,72.31,False,False,0.0,0.0,False,False,27.625,27.625,False,False,85.816,85.816,False,False,False,False,False,False,0,False,
94,,99.58,1.0,40.698,114.339,1,0,0,0,0,0,0,0,True,0.05,0.05,True,False,99.58,99.58,False,False,1.0,1.0,False,False,40.698,40.698,False,False,114.339,114.339,False,False,False,False,False,False,0,False,
95,0.1,71.03,3.0,29.033,88.775,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,71.03,71.03,False,False,3.0,3.0,False,False,29.033,29.033,False,False,88.775,88.775,False,False,False,False,False,False,0,False,
96,0.1,83.32,0.0,34.983,95.711,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,83.32,83.32,False,False,0.0,0.0,False,False,34.983,34.983,False,False,95.711,95.711,False,False,False,False,False,False,0,False,
97,0.0,64.3,1.0,28.214,84.193,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,64.3,64.3,False,False,1.0,1.0,False,False,28.214,28.214,False,False,84.193,84.193,False,False,False,False,False,False,0,False,
98,0.0,73.46,3.0,33.973,,0,0,0,0,1,0,0,0,False,0.0,0.0,False,False,73.46,73.46,False,False,3.0,3.0,False,False,33.973,33.973,False,True,87.08063200767376,87.08063200767376,True,False,False,False,False,False,0,False,
99,0.1,81.13,0.0,32.53,93.584,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,81.13,81.13,False,False,0.0,0.0,False,False,32.53,32.53,False,False,93.584,93.584,False,False,False,False,False,False,0,False,
100,4.1,85.63,1.0,35.47,106.317,0,0,0,0,0,0,0,0,False,4.1,4.1,False,False,85.63,85.63,False,False,1.0,1.0,False,False,35.47,35.47,False,False,106.317,106.317,False,False,False,False,False,False,0,False,
101,0.2,76.85,1.0,31.422,93.795,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,76.85,76.85,False,False,1.0,1.0,False,False,31.422,31.422,False,False,93.795,93.795,False,False,False,False,False,False,0,False,
102,0.4,59.56,0.0,22.621,73.315,0,0,0,0,0,0,0,0,False,0.4,0.4,False,False,59.56,59.56,False,False,0.0,0.0,False,False,22.621,22.621,False,False,73.315,73.315,False,False,False,False,False,False,0,False,
103,0.2,84.36,2.0,33.933,99.048,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,84.36,84.36,False,False,2.0,2.0,False,False,33.933,33.933,False,False,99.048,99.048,False,False,False,False,False,False,0,False,
104,0.6,84.59,4.0,38.289,,0,0,0,0,1,0,0,0,False,0.6,0.6,False,False,84.59,84.59,False,False,4.0,4.0,False,False,38.289,38.289,False,True,104.77449077678519,104.77449077678519,True,False,False,False,False,False,0,False,
105,0.0,85.82,,38.897,108.143,0,0,1,0,0,0,0,0,False,0.0,0.0,False,False,85.82,85.82,False,True,2.0,2.0,True,False,38.897,38.897,False,False,108.143,108.143,False,False,False,False,False,False,0,False,
106,0.1,96.27,2.0,38.625,111.315,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,96.27,96.27,False,False,2.0,2.0,False,False,38.625,38.625,False,False,111.315,111.315,False,False,False,False,False,False,0,False,
107,13.0,82.37,1.0,38.021,119.646,0,0,0,0,0,0,0,0,False,13.0,13.0,False,False,82.37,82.37,False,False,1.0,1.0,False,False,38.021,38.021,False,False,119.646,119.646,False,False,False,False,False,False,0,False,
108,3.1,67.22,0.0,30.263,89.061,0,0,0,0,0,0,0,0,False,3.1,3.1,False,False,67.22,67.22,False,False,0.0,0.0,False,False,30.263,30.263,False,False,89.061,89.061,False,False,False,False,False,False,0,False,
109,0.0,75.58,0.0,32.79,91.066,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,75.58,75.58,False,False,0.0,0.0,False,False,32.79,32.79,False,False,91.066,91.066,False,False,False,False,False,False,0,False,
110,0.0,61.0,1.0,24.36,78.027,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,61.0,61.0,False,False,1.0,1.0,False,False,24.36,24.36,False,False,78.027,78.027,False,False,False,False,False,False,0,False,
111,0.3,88.24,0.0,38.214,100.952,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,88.24,88.24,False,False,0.0,0.0,False,False,38.214,38.214,False,False,100.952,100.952,False,False,False,False,False,False,0,False,
112,0.0,100.11,0.0,41.469,112.947,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,100.11,100.11,False,False,0.0,0.0,False,False,41.469,41.469,False,False,112.947,112.947,False,False,False,False,False,False,0,False,
113,3.3691944729582,75.3678893974789,6.0,26.1613776323289,83.123530596838,0,0,0,0,0,0,0,0,False,3.3691944729582,3.3691944729582,False,False,75.3678893974789,75.3678893974789,False,False,6.0,6.0,False,False,26.1613776323289,26.1613776323289,False,False,83.123530596838,83.123530596838,False,False,False,False,False,False,0,False,
114,7.9,84.3,1.0,35.85,113.986,0,0,0,0,0,0,0,0,False,7.9,7.9,False,False,84.3,84.3,False,False,1.0,1.0,False,False,35.85,35.85,False,False,113.986,113.986,False,False,False,False,False,False,0,False,
115,0.1,54.84,2.0,19.802,74.545,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,54.84,54.84,False,False,2.0,2.0,False,False,19.802,19.802,False,False,74.545,74.545,False,False,False,False,False,False,0,False,
116,0.3,55.37,4.0,25.395,79.66,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,55.37,55.37,False,False,4.0,4.0,False,False,25.395,25.395,False,False,79.66,79.66,False,False,False,False,False,False,0,False,
