编号,a_降雨量_mm,b_孔隙水压力_kPa,c_微震事件数,d_深部位移_mm,e_表面位移_mm,缺失标记_a_降雨量_mm,缺失标记_b_孔隙水压力_kPa,缺失标记_c_微震事件数,缺失标记_d_深部位移_mm,缺失标记_e_表面位移_mm,突变候选标记_b_孔隙水压力_kPa,突变候选标记_d_深部位移_mm,a_原始缺失,a_补齐值,a_建模值,a_是否插补,b_原始缺失,b_补齐值,b_建模值,b_是否插补,c_原始缺失,c_补齐值,c_建模值,c_是否插补,d_原始缺失,d_补齐值,d_建模值,d_是否插补,e_原始缺失,e_补齐值,e_建模值,e_是否插补,e_表面位移估计值_mm
15,0.3,70.63,2.0,28.665,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,70.63,70.63,False,False,2.0,2.0,False,False,28.665,28.665,False,True,,,True,89.25795700540816
16,0.0,68.88,0.0,25.781,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,68.88,68.88,False,False,0.0,0.0,False,False,25.781,25.781,False,True,,,True,80.70565238856722
17,8.0,70.61,1.0,33.543,,0,0,0,0,1,0,0,False,8.0,8.0,False,False,70.61,70.61,False,False,1.0,1.0,False,False,33.543,33.543,False,True,,,True,102.08208333157384
18,3.9,74.34,1.0,37.376,,0,0,0,0,1,0,0,False,3.9,3.9,False,False,74.34,74.34,False,False,1.0,1.0,False,False,37.376,37.376,False,True,,,True,102.35492069027184
19,0.6,72.84,1.0,30.782,,0,0,0,0,1,0,0,False,0.6,0.6,False,False,72.84,72.84,False,False,1.0,1.0,False,False,30.782,30.782,False,True,,,True,90.68217246161471
20,0.4,72.01,0.0,34.991,,0,0,0,0,1,0,0,False,0.4,0.4,False,False,72.01,72.01,False,False,0.0,0.0,False,False,34.991,34.991,False,True,,,True,91.96132524050388
21,5.5,73.18,1.0,32.504,,0,0,0,0,1,0,0,False,5.5,5.5,False,False,73.18,73.18,False,False,1.0,1.0,False,False,32.504,32.504,False,True,,,True,99.05481632981709
22,0.1,73.68,0.0,30.034,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,73.68,73.68,False,False,0.0,0.0,False,False,30.034,30.034,False,True,,,True,87.50712566147297
23,0.0,72.62,,33.398,,0,0,1,0,1,0,0,False,0.0,0.0,False,False,72.62,72.62,False,True,1.0,1.0,True,False,33.398,33.398,False,True,,,True,92.36631964435466
24,0.6,71.28,,35.19,,0,0,1,0,1,0,0,False,0.6,0.6,False,False,71.28,71.28,False,True,1.0,1.0,True,False,35.19,35.19,False,True,,,True,94.25122723779685
25,0.2,71.32,1.0,26.585,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,71.32,71.32,False,False,1.0,1.0,False,False,26.585,26.585,False,True,,,True,85.21655985006173
26,2.5,71.94,1.0,33.58,,0,0,0,0,1,0,0,False,2.5,2.5,False,False,71.94,71.94,False,False,1.0,1.0,False,False,33.58,33.58,False,True,,,True,95.51137752011067
27,6.3,75.47,0.0,33.063,,0,0,0,0,1,0,0,False,6.3,6.3,False,False,75.47,75.47,False,False,0.0,0.0,False,False,33.063,33.063,False,True,,,True,99.63894083181583
28,0.0,75.21,0.0,27.456,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,75.21,75.21,False,False,0.0,0.0,False,False,27.456,27.456,False,True,,,True,85.60323082560444
29,0.2,72.18,1.0,26.818,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,72.18,72.18,False,False,1.0,1.0,False,False,26.818,26.818,False,True,,,True,85.88733207536794
30,0.7,72.19,2.0,30.62,,0,0,0,0,1,0,0,False,0.7,0.7,False,False,72.19,72.19,False,False,2.0,2.0,False,False,30.62,30.62,False,True,,,True,92.52284599160049
31,0.0,71.33,1.0,26.732,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,71.33,71.33,False,False,1.0,1.0,False,False,26.732,26.732,False,True,,,True,85.10230238901275
32,0.8,72.19,2.0,30.576,,0,0,0,0,1,0,0,False,0.8,0.8,False,False,72.19,72.19,False,False,2.0,2.0,False,False,30.576,30.576,False,True,,,True,92.61175861387048
33,0.7,70.03,0.0,31.086,,0,0,0,0,1,0,0,False,0.7,0.7,False,False,70.03,70.03,False,False,0.0,0.0,False,False,31.086,31.086,False,True,,,True,87.4772164520846
34,0.1,71.51,1.0,29.608,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,71.51,71.51,False,False,1.0,1.0,False,False,29.608,29.608,False,True,,,True,88.176185825511
35,0.0,70.78,0.0,32.79,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,70.78,70.78,False,False,0.0,0.0,False,False,32.79,32.79,False,True,,,True,88.62153246899834
36,0.0,69.16,0.0,30.892,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,69.16,69.16,False,False,0.0,0.0,False,False,30.892,30.892,False,True,,,True,85.91243768406491
37,0.6,68.04,0.0,30.354,,0,0,0,0,1,0,0,False,0.6,0.6,False,False,68.04,68.04,False,False,0.0,0.0,False,False,30.354,30.354,False,True,,,True,85.60151811768684
38,0.0,67.14,0.0,25.799,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,67.14,67.14,False,False,0.0,0.0,False,False,25.799,25.799,False,True,,,True,79.83338352719295
39,0.3,67.73,0.0,29.988,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,67.73,67.73,False,False,0.0,0.0,False,False,29.988,29.988,False,True,,,True,84.6828222333021
40,7.3,68.81,0.0,32.34,,0,0,0,0,1,0,0,False,7.3,7.3,False,False,68.81,68.81,False,False,0.0,0.0,False,False,32.34,32.34,False,True,,,True,96.84075317526387
41,14.7,75.0,1.0,31.438,,0,0,0,0,1,0,0,False,14.7,14.7,False,False,75.0,75.0,False,False,1.0,1.0,False,False,31.438,31.438,False,True,,,True,111.12011927760004
42,0.5,75.23,0.0,31.156,,0,0,0,0,1,0,0,False,0.5,0.5,False,False,75.23,75.23,False,False,0.0,0.0,False,False,31.156,31.156,False,True,,,True,89.94163252046272
43,5.4,78.68,0.0,35.609,,0,0,0,0,1,0,0,False,5.4,5.4,False,False,78.68,78.68,False,False,0.0,0.0,False,False,35.609,35.609,False,True,,,True,102.610851343658
44,0.2,76.74,1.0,29.729,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,76.74,76.74,False,False,1.0,1.0,False,False,29.729,29.729,False,True,,,True,91.10398740841013
45,0.0,75.65,1.0,27.819,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,75.65,75.65,False,False,1.0,1.0,False,False,27.819,27.819,False,True,,,True,88.38911870608199
46,0.0,75.28,0.0,28.471,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,75.28,75.28,False,False,0.0,0.0,False,False,28.471,28.471,False,True,,,True,86.64461646626154
47,0.0,72.48,0.0,31.091,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,72.48,72.48,False,False,0.0,0.0,False,False,31.091,31.091,False,True,,,True,87.8079452782391
48,,72.9,0.0,31.635,,1,0,0,0,1,0,0,True,0.0,0.0,True,False,72.9,72.9,False,False,0.0,0.0,False,False,31.635,31.635,False,True,,,True,88.5617470417884
49,19.1,83.35,1.0,,,0,0,0,1,1,0,0,False,19.1,19.1,False,False,83.35,83.35,False,False,1.0,1.0,False,True,33.190783292709945,33.190783292709945,True,True,,,True,122.95827735662594
50,0.3,81.91,0.0,34.375,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,81.91,81.91,False,False,0.0,0.0,False,False,34.375,34.375,False,True,,,True,96.28291196548032
51,0.0,80.53,1.0,31.335,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,80.53,80.53,False,False,1.0,1.0,False,False,31.335,31.335,False,True,,,True,94.36885421809455
52,0.3,79.92,0.0,29.315,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,79.92,79.92,False,False,0.0,0.0,False,False,29.315,29.315,False,True,,,True,90.25189802536758
53,0.0,78.92,1.0,35.121,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,78.92,78.92,False,False,1.0,1.0,False,False,35.121,35.121,False,True,,,True,97.29610587734668
54,2.89465571914833,84.7148782793421,0.0,29.2121219387496,,0,0,0,0,1,0,0,False,2.89465571914833,2.89465571914833,False,False,84.7148782793421,84.7148782793421,False,False,0.0,0.0,False,False,29.2121219387496,29.2121219387496,False,True,,,True,96.04083427053031
55,0.0,76.13,0.0,32.322,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,76.13,76.13,False,False,0.0,0.0,False,False,32.322,32.322,False,True,,,True,90.89468439880987
56,0.0,76.87,0.0,27.143,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,76.87,76.87,False,False,0.0,0.0,False,False,27.143,27.143,False,True,,,True,86.14231418757396
57,10.2,80.19,1.0,33.202,,0,0,0,0,1,0,0,False,10.2,10.2,False,False,80.19,80.19,False,False,1.0,1.0,False,False,33.202,33.202,False,True,,,True,109.56001525219568
58,0.0,79.14,3.0,33.077,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.14,79.14,False,False,3.0,3.0,False,False,33.077,33.077,False,True,,,True,99.78597294382853
59,0.0,79.63,0.0,32.554,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.63,79.63,False,False,0.0,0.0,False,False,32.554,32.554,False,True,,,True,92.91496511949228
60,0.0,78.19,0.0,33.664,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,78.19,78.19,False,False,0.0,0.0,False,False,33.664,33.664,False,True,,,True,93.27802417494553
61,0.0,,0.0,31.114,,0,1,0,0,1,0,0,False,0.0,0.0,False,True,77.62954427925017,77.62954427925017,True,False,0.0,0.0,False,False,31.114,31.114,False,True,,,True,90.46499519383991
62,0.0,77.4,2.0,,,0,0,0,1,1,0,0,False,0.0,0.0,False,False,77.4,77.4,False,False,2.0,2.0,False,True,32.5955,32.5955,True,True,,,True,96.21766664174095
63,4.4,79.6,0.0,34.077,,0,0,0,0,1,0,0,False,4.4,4.4,False,False,79.6,79.6,False,False,0.0,0.0,False,False,34.077,34.077,False,True,,,True,100.23866127517167
64,3.8,82.36,2.0,33.29,,0,0,0,0,1,0,0,False,3.8,3.8,False,False,82.36,82.36,False,False,2.0,2.0,False,False,33.29,33.29,False,True,,,True,104.47817773935142
65,0.0,78.86,1.0,33.089,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,78.86,78.86,False,False,1.0,1.0,False,False,33.089,33.089,False,True,,,True,95.25227738215261
66,4.0,80.95,2.0,36.411,,0,0,0,0,1,0,0,False,4.0,4.0,False,False,80.95,80.95,False,False,2.0,2.0,False,False,36.411,36.411,False,True,,,True,107.11392193841407
67,4.2,80.79,1.0,34.967,,0,0,0,0,1,0,0,False,4.2,4.2,False,False,80.79,80.79,False,False,1.0,1.0,False,False,34.967,34.967,False,True,,,True,103.66531287444003
68,3.2,82.53,,29.894,,0,0,1,0,1,0,0,False,3.2,3.2,False,False,82.53,82.53,False,True,1.0,1.0,True,False,29.894,29.894,False,True,,,True,98.20446995924485
69,0.1,81.9,1.0,36.414,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,81.9,81.9,False,False,1.0,1.0,False,False,36.414,36.414,False,True,,,True,100.23403320784784
70,1.2,79.29,0.0,31.75,,0,0,0,0,1,0,0,False,1.2,1.2,False,False,79.29,79.29,False,False,0.0,0.0,False,False,31.75,31.75,False,True,,,True,93.5345509850163
71,0.0,80.2,1.0,30.917,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,80.2,80.2,False,False,1.0,1.0,False,False,30.917,30.917,False,True,,,True,93.78592244239424
72,0.0,79.42,3.0,35.346,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.42,79.42,False,False,3.0,3.0,False,False,35.346,35.346,False,True,,,True,102.17714278089173
73,0.0,79.09,1.0,30.011,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.09,79.09,False,False,1.0,1.0,False,False,30.011,30.011,False,True,,,True,92.32051002730236
74,0.8,78.51,1.0,30.985,,0,0,0,0,1,0,0,False,0.8,0.8,False,False,78.51,78.51,False,False,1.0,1.0,False,False,30.985,30.985,False,True,,,True,94.04880011071383
75,0.0,79.21,0.0,33.973,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.21,79.21,False,False,0.0,0.0,False,False,33.973,33.973,False,True,,,True,94.1059392689996
76,0.0,75.65,1.0,30.811,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,75.65,75.65,False,False,1.0,1.0,False,False,30.811,30.811,False,True,,,True,91.35334159546832
77,17.2,84.35,0.0,43.843,,0,0,0,0,1,0,0,False,17.2,17.2,False,False,84.35,84.35,False,False,0.0,0.0,False,False,43.843,43.843,False,True,,,True,129.30440054642628
78,0.0,84.26,1.0,36.528,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,84.26,84.26,False,False,1.0,1.0,False,False,36.528,36.528,False,True,,,True,101.4217351667398
79,16.4,90.69,1.0,44.602,,0,0,0,0,1,0,0,False,16.4,16.4,False,False,90.69,90.69,False,False,1.0,1.0,False,False,44.602,44.602,False,True,,,True,134.4407400786175
80,0.0,91.43,3.0,40.914,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,91.43,91.43,False,False,3.0,3.0,False,False,40.914,40.914,False,True,,,True,113.83719892506191
81,0.0,90.42,0.0,34.719,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,90.42,90.42,False,False,0.0,0.0,False,False,34.719,34.719,False,True,,,True,100.57951968084278
82,0.2,87.81,0.0,35.113,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,87.81,87.81,False,False,0.0,0.0,False,False,35.113,35.113,False,True,,,True,99.89971750720862
83,0.0,,1.0,39.169,,0,1,0,0,1,0,0,False,0.0,0.0,False,True,87.91810165975104,87.91810165975104,True,False,1.0,1.0,False,False,39.169,39.169,False,True,,,True,105.90952856443462
84,4.8,88.15,0.0,33.989,,0,0,0,0,1,0,0,False,4.8,4.8,False,False,88.15,88.15,False,False,0.0,0.0,False,False,33.989,33.989,False,True,,,True,105.05527064610355
85,0.2,88.54,2.0,39.162,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,88.54,88.54,False,False,2.0,2.0,False,False,39.162,39.162,False,True,,,True,108.68691031210143
86,8.4,90.89,0.0,39.805,,0,0,0,0,1,0,0,False,8.4,8.4,False,False,90.89,90.89,False,False,0.0,0.0,False,False,39.805,39.805,False,True,,,True,116.98907945952979
87,0.0,88.64,0.0,40.106,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,88.64,88.64,False,False,0.0,0.0,False,False,40.106,40.106,False,True,,,True,105.00594402207214
88,0.0,89.18,0.0,36.473,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,89.18,89.18,False,False,0.0,0.0,False,False,36.473,36.473,False,True,,,True,101.68291051951465
89,0.7,88.99,1.0,35.073,,0,0,0,0,1,0,0,False,0.7,0.7,False,False,88.99,88.99,False,False,1.0,1.0,False,False,35.073,35.073,False,True,,,True,103.32741645470327
90,0.0,87.6,1.0,37.605,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,87.6,87.6,False,False,1.0,1.0,False,False,37.605,37.605,False,True,,,True,104.1973226447187
91,0.5,87.31,,35.217,,0,0,1,0,1,0,0,False,0.5,0.5,False,False,87.31,87.31,False,True,0.0,0.0,True,False,35.217,35.217,False,True,,,True,100.14448803288613
92,0.0,85.4,0.0,33.586,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,85.4,85.4,False,False,0.0,0.0,False,False,33.586,33.586,False,True,,,True,96.88904350611959
93,0.0,87.68,1.0,38.122,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,87.68,87.68,False,False,1.0,1.0,False,False,38.122,38.122,False,True,,,True,104.75044714193224
94,0.0,85.96,0.0,38.473,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,85.96,85.96,False,False,0.0,0.0,False,False,38.473,38.473,False,True,,,True,102.01714313626064
95,2.1,85.77,0.0,39.41,,0,0,0,0,1,0,0,False,2.1,2.1,False,False,85.77,85.77,False,False,0.0,0.0,False,False,39.41,39.41,False,True,,,True,105.6308360449243
96,0.0,86.23,1.0,34.846,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,86.23,86.23,False,False,1.0,1.0,False,False,34.846,34.846,False,True,,,True,100.76310938903664
97,3.0,84.66,1.0,34.635,,0,0,0,0,1,0,0,False,3.0,3.0,False,False,84.66,84.66,False,False,1.0,1.0,False,False,34.635,34.635,False,True,,,True,103.72605454126733
98,0.0,84.7,1.0,34.264,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,84.7,84.7,False,False,1.0,1.0,False,False,34.264,34.264,False,True,,,True,99.40383687750357
99,0.3,84.05,1.0,33.51,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,84.05,84.05,False,False,1.0,1.0,False,False,33.51,33.51,False,True,,,True,98.72183998838744
100,0.0,83.74,0.0,33.844,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,83.74,83.74,False,False,0.0,0.0,False,False,33.844,33.844,False,True,,,True,96.29547075280108
101,,82.23,1.0,34.435,,1,0,0,0,1,0,0,True,0.05,0.05,True,False,82.23,82.23,False,False,1.0,1.0,False,False,34.435,34.435,False,True,,,True,98.37596616926292
102,0.1,82.36,0.0,35.08,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,82.36,82.36,False,False,0.0,0.0,False,False,35.08,35.08,False,True,,,True,96.94655734950268
103,0.7,80.73,1.0,36.011,,0,0,0,0,1,0,0,False,0.7,0.7,False,False,80.73,80.73,False,False,1.0,1.0,False,False,36.011,36.011,False,True,,,True,100.03128269274345
104,0.0,80.32,0.0,33.901,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,80.32,80.32,False,False,0.0,0.0,False,False,33.901,33.901,False,True,,,True,94.60243123428538
105,0.0,80.95,2.0,39.898,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,80.95,80.95,False,False,2.0,2.0,False,False,39.898,39.898,False,True,,,True,105.26838393597362
106,0.4,77.49,0.0,34.259,,0,0,0,0,1,0,0,False,0.4,0.4,False,False,77.49,77.49,False,False,0.0,0.0,False,False,34.259,34.259,False,True,,,True,94.03942994695596
107,0.2,76.72,0.0,29.794,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,76.72,76.72,False,False,0.0,0.0,False,False,29.794,29.794,False,True,,,True,88.95697821154577
108,0.0,77.09,0.0,31.996,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,77.09,77.09,False,False,0.0,0.0,False,False,31.996,31.996,False,True,,,True,91.06280153793483
109,0.0,76.0,0.0,35.846,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,76.0,76.0,False,False,0.0,0.0,False,False,35.846,35.846,False,True,,,True,94.3194664548563
110,0.0,74.66,3.0,30.064,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,74.66,74.66,False,False,3.0,3.0,False,False,30.064,30.064,False,True,,,True,94.50918877627187
111,0.0,73.93,0.0,31.234,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,73.93,73.93,False,False,0.0,0.0,False,False,31.234,31.234,False,True,,,True,88.69136915665362
112,0.0,73.59,2.0,29.276,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,73.59,73.59,False,False,2.0,2.0,False,False,29.276,29.276,False,True,,,True,90.97996828715158
113,0.0,72.57,0.0,25.575,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,72.57,72.57,False,False,0.0,0.0,False,False,25.575,25.575,False,True,,,True,82.38919442988563
114,1.3,72.04,0.0,33.074,,0,0,0,0,1,0,0,False,1.3,1.3,False,False,72.04,72.04,False,False,0.0,0.0,False,False,33.074,33.074,False,True,,,True,91.27000607303177
115,8.7,74.16,0.0,32.506,,0,0,0,0,1,0,0,False,8.7,8.7,False,False,74.16,74.16,False,False,0.0,0.0,False,False,32.506,32.506,False,True,,,True,101.59707707478732
116,,74.15,1.0,30.085,,1,0,0,0,1,0,0,True,0.55,0.55,True,False,74.15,74.15,False,False,1.0,1.0,False,False,30.085,30.085,False,True,,,True,90.59552527659184
117,1.1,73.98,1.0,,,0,0,0,1,1,0,0,False,1.1,1.1,False,False,73.98,73.98,False,False,1.0,1.0,False,True,29.784902472967786,29.784902472967786,True,True,,,True,90.94002257311513
118,0.0,71.76,0.0,29.463,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,71.76,71.76,False,False,0.0,0.0,False,False,29.463,29.463,False,True,,,True,85.82674132751306
119,0.0,70.88,0.0,24.739,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,70.88,70.88,False,False,0.0,0.0,False,False,24.739,24.739,False,True,,,True,80.69643156487513
120,11.4,76.0,0.0,36.215,,0,0,0,0,1,0,0,False,11.4,11.4,False,False,76.0,76.0,False,False,0.0,0.0,False,False,36.215,36.215,False,True,,,True,109.79051216480636
121,1.9,78.97,5.0,31.091,,0,0,0,0,1,0,0,False,1.9,1.9,False,False,78.97,78.97,False,False,5.0,5.0,False,False,31.091,31.091,False,True,,,True,104.65137455656576
122,0.0,77.46,0.0,31.18,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,77.46,77.46,False,False,0.0,0.0,False,False,31.18,31.18,False,True,,,True,90.44365162427096
123,0.0,75.98,1.0,29.561,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,75.98,75.98,False,False,1.0,1.0,False,False,29.561,29.561,False,True,,,True,90.28375873898402
124,10.2,,0.0,39.01,,0,1,0,0,1,0,0,False,10.2,10.2,False,True,78.46000000000001,78.46000000000001,True,False,0.0,0.0,False,False,39.01,39.01,False,True,,,True,112.22793405723597
125,0.4,80.94,0.0,34.587,,0,0,0,0,1,0,0,False,0.4,0.4,False,False,80.94,80.94,False,False,0.0,0.0,False,False,34.587,34.587,False,True,,,True,96.12924178686455
126,0.0,79.79,1.0,32.923,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,79.79,79.79,False,False,1.0,1.0,False,False,32.923,32.923,False,True,,,True,95.56356253234308
127,0.2,80.94,0.0,35.409,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,80.94,80.94,False,False,0.0,0.0,False,False,35.409,35.409,False,True,,,True,96.67860223778233
128,0.0,78.28,1.0,33.976,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,78.28,78.28,False,False,1.0,1.0,False,False,33.976,33.976,False,True,,,True,95.83434207281842
129,0.3,78.67,5.0,33.864,,0,0,0,0,1,0,0,False,0.3,0.3,False,False,78.67,78.67,False,False,5.0,5.0,False,False,33.864,33.864,False,True,,,True,105.1250986116772
130,,80.2,1.0,34.06,,1,0,0,0,1,0,0,True,0.25,0.25,True,False,80.2,80.2,False,False,1.0,1.0,False,False,34.06,34.06,False,True,,,True,97.23100381731176
131,0.8,80.34,0.0,34.156,,0,0,0,0,1,0,0,False,0.8,0.8,False,False,80.34,80.34,False,False,0.0,0.0,False,False,34.156,34.156,False,True,,,True,95.92532800433031
132,12.2,86.35,1.0,36.431,,0,0,0,0,1,0,0,False,12.2,12.2,False,False,86.35,86.35,False,False,1.0,1.0,False,False,36.431,36.431,False,True,,,True,118.56028541649584
133,0.0,85.07,1.0,33.949,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,85.07,85.07,False,False,1.0,1.0,False,False,33.949,33.949,False,True,,,True,99.28103578321888
134,0.8,86.01,0.0,33.042,,0,0,0,0,1,0,0,False,0.8,0.8,False,False,86.01,86.01,False,False,0.0,0.0,False,False,33.042,33.042,False,True,,,True,97.72217413897376
135,0.0,,0.0,,,0,1,0,1,1,0,0,False,0.0,0.0,False,True,84.405,84.405,True,False,0.0,0.0,False,True,33.31699999999999,33.31699999999999,True,True,,,True,96.11354587861084
136,0.1,82.8,1.0,33.592,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,82.8,82.8,False,False,1.0,1.0,False,False,33.592,33.592,False,True,,,True,97.89862953203433
137,0.0,84.2,0.0,32.001,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,84.2,84.2,False,False,0.0,0.0,False,False,32.001,32.001,False,True,,,True,94.70489504106959
138,0.0,81.84,0.0,33.796,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,81.84,81.84,False,False,0.0,0.0,False,False,33.796,33.796,False,True,,,True,95.27596618474237
139,,81.68,1.0,31.667,,1,0,0,0,1,0,0,True,0.05,0.05,True,False,81.68,81.68,False,False,1.0,1.0,False,False,31.667,31.667,False,True,,,True,95.35230970768501
140,0.1,83.7,1.0,33.708,,0,0,0,0,1,0,0,False,0.1,0.1,False,False,83.7,83.7,False,False,1.0,1.0,False,False,33.708,33.708,False,True,,,True,98.47395007046448
