编号,表面位移估计值_mm
102,96.94655734950268
103,100.03128269274345
104,94.60243123428538
105,105.26838393597362
106,94.03942994695596
107,88.95697821154577
108,91.06280153793483
109,94.3194664548563
110,94.50918877627187
111,88.69136915665362
112,90.97996828715158
113,82.38919442988563
114,91.27000607303177
115,101.59707707478732
116,90.59552527659184
117,90.94002257311513
118,85.82674132751306
119,80.69643156487513
120,109.79051216480636
121,104.65137455656576
122,90.44365162427096
123,90.28375873898402
124,112.22793405723597
125,96.12924178686455
126,95.56356253234308
127,96.67860223778233
128,95.83434207281842
129,105.1250986116772
130,97.23100381731176
131,95.92532800433031
132,118.56028541649584
133,99.28103578321888
134,97.72217413897376
135,96.11354587861084
136,97.89862953203433
137,94.70489504106959
138,95.27596618474237
139,95.35230970768501
140,98.47395007046448
141,99.87547459491321
142,142.89151911564977
143,140.73381958552284
144,136.92468849469537
145,114.97889408051812
146,119.37910605638191
147,122.57060607388337
148,113.6128164558124
149,110.63997844892378
150,110.54891079477792
151,111.52966458912312
152,109.45003512191488
153,109.87925984675468
154,114.97750483085196
155,110.66499099682565
156,106.81669216883208
157,105.57306962980665
158,107.23921323516316
159,106.5001825020262
160,129.07478299847858
161,105.11506401018168
162,109.35160117187418
163,103.68465609546979
164,124.69378057507879
165,111.00499541313789
166,110.81576084497217
167,113.52657487335274
168,111.40641254079131
169,110.31084520258868
170,128.70066965937096
171,113.79258566302397
172,107.32470721248862
173,110.9133335636261
174,113.61517390216575
175,117.50573078430675
176,119.70294676670864
177,114.50640916018895
178,108.01674471048138
179,111.87560975142132
180,104.93888065035091
181,104.07658948949961
182,106.01929661576332
183,99.64419707539955
184,127.41407489985573
185,109.81067769170676
186,108.6704863762769
187,124.16537218800518
188,110.75704339031388
189,111.07199316810227
190,108.92181909585582
191,103.32887017245153
192,114.97773721226727
193,111.12040589857864
194,106.79998728722643
195,103.74802868191335
196,109.47677820422946
197,127.72600553624957
198,107.76958258405361
199,104.55390051896536
200,110.08253090849992
201,106.44340767427455
202,107.90870212256448
203,107.45503303739058
204,103.20976799809876
205,105.95328010675377
206,99.98654916874169
207,139.60312610919084
208,109.8011243919504
209,106.94027699138368
210,105.65480697421253
211,102.64701113400645
212,104.91382606076135
213,104.11940742180899
214,126.59743236287146
215,106.05726976249564
216,110.11839050187005
217,104.10972172409909
218,127.01564100168548
219,109.9501849275416
220,104.56925842744401
221,110.4518653145508
222,129.30535532241052
223,120.6885195513083
224,109.7511459102775
225,107.35652483831201
226,117.98020526950357
227,111.18154298193194
228,104.23766442843933
229,109.24399634560913
230,107.94887746098352
231,105.9028238317299
232,144.21039192324386
233,112.84540510533353
234,111.36759277921418
235,115.84568538624724
236,116.16149011100514
237,107.06849319934382
238,106.68221389758622
239,111.49685642442678
240,108.71637819190741
241,135.63308405883942
242,117.69106730157563
243,114.50533198615906
244,111.03071914012082
245,107.52983377429905
246,105.27165203995472
247,107.93393381132853
248,131.8278912002004
249,115.72689584393373
250,114.17872452727818
251,114.45749166418649
252,118.27182918560753
253,123.71237439740972
254,114.48199430252991
255,141.74189221975388
256,137.3135350193548
257,113.81190785780718
258,113.69094662862312
259,116.27017077081277
260,118.11840999414666
261,111.0842943939666
262,114.73451222131828
263,107.55558818238718
264,112.65575665942296
265,109.01281677658255
266,104.50153715603767
267,107.43554927623023
268,105.00869734703379
269,114.34163939337837
270,114.19156119330627
271,134.41259141739397
272,112.12818424584277
273,119.81789754927325
274,115.6232268819654
275,110.72507681848785
276,110.97631958726508
277,116.2769258476561
278,107.55419814813447
279,112.00623566368814
280,106.83868487834702
281,106.8502115032592
282,113.46691204989853
283,107.1619150241485
284,106.63869654490355
285,105.90742201120186
286,109.06540820171291
287,104.17853475784507
288,105.54345349795422
289,102.52732992236024
290,100.34502925598721
291,110.43322968871186
292,107.6063228202141
293,115.42641351684028
294,110.96504939337632
295,106.2064699809241
296,102.15039216834086
297,114.7090396810219
298,99.38732274583693
299,98.1265150397635
300,96.22994439845446
301,93.66907389433898
302,99.51253617451145
303,99.85540200113765
304,97.39872319685726
305,93.63816589016473
306,96.11187322522346
307,91.86071528626339
308,93.05806920894342
309,95.4426910932774
310,91.47867261709976
311,89.621367301705
312,128.90004228781441
313,101.22018592835242
314,98.91338994252956
315,99.86411939065847
316,95.26257301197123
317,92.64330517340686
318,94.57902588535161
319,93.61941488969121
320,97.57126127593612
321,96.95813989145402
322,96.62089458666844
323,97.51562886040387
324,94.77270959246499
325,94.16312328258434
326,88.4239577136357
327,90.0416521386449
328,89.52233604504342
329,90.5423432034751
330,88.54471656950533
331,86.5154238032714
332,85.20725010298403
333,89.04075314352232
334,86.39685114614105
335,86.55990632438791
336,82.53122810260056
337,88.36372393399061
338,83.40178930625237
339,82.45066143900071
340,86.0764645913734
341,82.23114659059777
342,83.354403321066
343,91.19994791316486
344,90.2591826222685
345,86.81555075178079
346,81.31640062430787
347,78.14888932290006
348,96.54056786303856
349,134.51828569998446
350,93.01488738073039
351,132.96831392216717
352,102.2021843829646
353,100.00843349692605
354,101.53714263542845
355,102.14222418714526
356,105.6387795966904
357,99.01804485746888
358,118.99488448872196
359,102.46016864975026
360,99.00374007623563
361,99.0579687822728
362,101.30728852546916
363,104.7346643089059
364,116.51824110308351
365,102.92366599991036
366,98.42711650059866
367,122.13777850503931
368,100.8564314937162
369,96.16389707292235
370,106.89685108681222
371,101.08788048775111
372,98.5303744444589
373,120.66050320467738
374,106.77872572347482
375,106.33076029004052
376,118.63067860680779
377,106.33163622408576
378,104.36502679055492
379,106.89631861708266
380,114.08925481932273
381,100.08906961477959
382,102.11520571654823
383,100.21684091909414
384,100.29925489554422
385,125.69926324448878
386,102.14072526377548
387,104.99482122837838
388,104.1251320036998
389,114.6142737888847
390,102.24864122044688
391,102.58163278833914
392,103.13256130453581
393,98.47488541295205
394,113.47416862969504
395,100.25833653065916
396,107.68227312284915
397,104.69589189539539
398,103.20096042720336
399,101.67494707751723
400,101.85198548598396
401,94.9705655614471
402,98.22637337938721
403,96.25236791076142
404,98.42127842347075
405,92.66191647212258
406,111.0968981616968
407,97.38893189321195
408,99.6995298249914
409,90.88816894665841
410,100.74311548359974
411,93.1947687688032
412,111.28474492746321
413,103.67765519436284
414,96.65236573488356
415,117.34054514256884
416,99.83399809602872
417,97.7478250438086
418,104.75880123525663
419,119.16130409190382
420,97.06401058767062
421,105.14678700414258
422,94.06358740130214
423,93.56768707229517
424,99.98685089895889
425,92.34212220499387
426,120.78169538718814
427,104.04984203163792
428,97.45588831631117
429,104.7634184532257
430,94.36914660167429
431,104.51212851340308
432,107.28158371396106
433,102.28362212252763
434,98.74617091392584
435,99.57487870221954
436,94.85045706930592
437,115.20237641521871
438,99.70141063866748
439,122.83689205870996
440,102.29294107107197
441,103.21946201046381
442,104.0022573494928
443,105.98308594237226
444,99.59864316840475
445,99.61938476336128
446,106.91168762089293
447,99.34963306361124
448,97.48558112569646
449,93.27332187903649
450,96.46766403525882
451,93.20849546521829
452,93.44677777268113
453,93.52675105822964
454,100.88641723252462
455,90.55763194142175
456,91.75138104845394
457,106.63555193937535
458,95.05846427050838
459,96.0324278855366
460,97.28185074467692
461,92.49216716153718
462,103.68494640039532
463,116.22754296547562
464,99.11352154611615
465,96.47761329709554
466,93.63708021959164
467,91.86577738035626
468,96.26409174092313
469,91.0289674730083
470,91.95287552006349
471,92.43979241129523
472,97.83387801233346
473,117.03533129691789
474,108.53054429629962
475,95.58303085509938
476,99.24241617531204
477,101.29517231408747
478,92.83228791250521
479,91.85909107212379
480,112.48393188741956
481,96.29293997537162
482,121.7386595901073
483,97.69262555898582
484,93.20079264278938
485,104.51129411295138
486,97.84407217490278
487,99.50933423760674
488,97.39746817385688
489,95.13450487169031
490,92.45843533333804
491,91.67240618415843
492,93.51780700459071
493,90.20167876964929
494,102.38110953110792
495,95.21830752138719
496,97.72115487697782
497,99.28636375767744
498,97.1764010390905
499,97.8391838512504
500,96.68956350064343
501,89.47784646899049
502,117.62407554355694
503,133.30606684864188
504,101.60759752557291
505,118.8901667954951
506,136.95697679369619
507,108.63478660665245
508,120.84994694466145
509,123.47767635589797
510,111.89412591120315
511,111.50613418627682
512,107.04530572033062
513,129.81145628840952
514,114.12356174428835
515,162.32958269732006
516,118.61007212390962
517,112.65025094058583
518,113.99063863822093
519,120.29730959469325
520,124.2501820695098
521,113.33959662573236
522,114.9732605943166
523,113.26727289980082
524,128.16455897674626
525,119.90738975402998
526,127.72637779579381
527,122.36544316862654
528,119.22151585317033
529,121.6929149514102
530,121.96791775506298
531,116.70551095479752
532,114.10632349616037
533,117.25161193786701
534,114.52827316945925
535,113.68703431128488
536,117.59596540827633
537,110.04799053947055
538,111.93048436288834
539,110.46762524947901
540,114.14222009750146
541,108.0349463778826
542,140.7775445384936
543,122.08820604045559
544,115.65355640002461
545,109.15173247160962
546,113.8277710244042
547,116.21349697724996
548,115.77812328801957
549,121.37915807977669
550,107.62454477749196
551,111.73216947624094
552,105.21730436579936
553,108.02215545356263
554,109.88605436914405
555,107.05299642724557
556,102.19829260840147
557,103.87779581516106
558,106.24686552508344
559,99.65194229650598
560,107.26766385394154
561,104.47542589895953
562,102.25057091477832
563,98.46073053711834
564,95.6574191508885
565,108.83720173383307
566,94.82064472646864
567,103.53475528607176
568,97.14494302688381
569,94.10585924817639
570,100.26265932437174
571,97.4127958007758
572,99.48557247982473
573,96.39184363289554
574,93.17259410064186
575,107.641500005983
576,102.4885978882396
577,115.61036706361452
578,116.56373969683278
579,100.44625226383651
580,110.37940278547295
581,101.33487367720383
582,102.34884990199059
583,102.32167900907956
584,106.24969952443935
585,98.68130237928929
586,101.89265582532795
587,98.70190799636283
588,97.02095071687604
589,102.17005395266933
590,92.38570407976512
591,104.7821171716733
592,95.4444708391472
593,93.11319535780731
594,103.57867037574096
595,96.28539507644854
596,96.95401664069651
597,97.5090854527254
598,91.80598160048187
599,94.25444487867627
600,90.51135338094254
601,92.88602927603404
602,107.10636391213521
603,90.79937940438181
604,93.84212884502483
605,108.00743794359727
606,99.10534483716854
607,110.42706923021385
608,107.69718482196208
609,100.6411718332451
610,99.8756566063539
611,96.26979526888098
612,95.75560415759843
613,122.00860118443546
614,116.94549486251215
615,122.1951661096534
616,105.48521905873356
617,106.47202728357965
618,105.8327591583469
619,104.08382932266802
620,107.41923144617878
621,120.79643021149553
622,110.93844626540587
623,107.78909905171967
624,106.44280079831424
625,101.36538175860161
626,100.16454262174489
627,101.28247385748361
628,101.43338968372167
629,101.60608621609566
630,100.70191995342736
631,102.4053257365511
632,109.46431798489957
633,97.40961727631148
634,99.38134278833734
635,111.67593063259771
636,101.80897217206
637,101.73908348681552
638,99.6850829788193
639,114.38618476363808
640,96.68085959518838
641,96.70145738343354
642,104.97389997717107
643,99.64646969482561
644,96.94439414301075
645,96.63423014632149
646,94.39492402341756
647,93.08801090395508
648,94.41254798205655
649,94.92812865135419
650,97.4489272878348
651,90.92908202322953
652,97.03604776696353
653,95.71191638522127
654,89.89619227705728
655,90.23331276999453
656,96.86408464343296
657,148.22899232593562
658,111.86746069123842
659,103.22362374501513
660,103.00560418781016
661,98.30442487185042
662,103.14873249073932
663,100.30421740052746
664,100.07634255852234
665,98.77886605965462
666,102.22887589068812
667,101.21646904652839
668,96.93003707251782
669,100.0698642308898
670,96.06985104295806
671,93.3708104863811
672,100.38412129158048
673,98.51167682365744
674,128.9182572016847
675,101.53561793545771
676,110.21483014770828
677,104.62696982382182
678,106.4775335583772
679,108.1366342715497
680,121.57003762749443
681,105.79595759369958
682,124.21051807972705
683,106.75883117509144
684,103.52980909072977
685,103.82700161294754
686,103.09913167555779
687,108.31365369781798
688,105.60277498462563
689,101.92495223853034
690,104.42881110475233
691,98.8071634011325
692,98.82073238016794
693,98.67394613273872
694,100.88276597496755
695,99.88042270922807
696,102.88658956513758
697,94.27103412747063
698,104.79282219814971
699,101.27882092523672
700,91.76930677670643
701,98.2421815266201
702,101.42654554107952
703,96.50246628019414
704,98.73526437124437
705,95.85778596901181
706,111.54220371804729
707,94.79437858013415
708,92.61949479447742
709,94.35331467126288
710,110.34687961112068
711,99.37940444340555
712,95.64089244162562
713,99.7388565118308
714,106.51121686147877
715,94.14166619069844
716,98.92563569449337
717,90.78454426778796
718,94.0225985467985
719,92.42356940490717
720,99.97733324151133
721,93.34667247906266
722,93.56002879468298
723,92.41544503406018
724,91.52529749200919
725,85.23926637000363
726,93.12425000367442
727,93.6565812702428
728,91.20833043100721
729,87.20498589534262
730,98.0169333714095
731,89.81790451724899
732,95.28912963222416
733,86.5908249313015
734,82.77527805835815
735,99.90691788192525
736,85.0347052250159
737,93.61680882251133
738,93.07664767234881
739,94.97428757819966
740,87.51472221024004
741,86.90372906810305
742,82.27500108193979
743,86.06545857388747
744,82.17652585610867
745,81.25338470495896
746,101.42770172802115
747,105.1000305678026
748,87.79617789820206
749,90.44164410911931
750,94.91393569758979
751,93.04538841757416
752,97.54540409161606
753,90.36621405200995
754,104.1209115373974
755,103.80277811444782
756,95.4919610573186
757,92.11581887241645
758,91.03387809600095
759,99.82438779132075
760,100.03099259740397
761,90.3587006689985
762,90.22457917447367
763,93.16020552998643
764,90.86935275903562
765,88.32823948362403
766,84.92958092980831
767,89.58586901175903
768,84.47536514723544
769,103.51961211643741
770,97.75229171917333
771,82.83173008174157
772,86.86968629406472
773,84.4831778437314
774,91.84788623139752
775,89.266664393784
776,84.81126028631247
777,95.72003015742693
778,89.15785665235845
779,90.0017559989562
780,86.7996152419554
781,89.28331516476274
782,95.88534173557008
783,84.33193462722315
784,96.05829050900157
785,84.32764166843508
786,131.3378410364093
787,96.39842204003074
788,131.7040526076267
789,115.4168697174317
790,107.23568144964835
791,100.7013803682894
792,117.31757730521073
793,103.45129430284328
794,107.05228798699495
795,104.15806253403306
796,102.2695188682272
797,105.05995052581089
798,109.14509125874798
799,102.80982424055333
800,99.67274125922802
801,108.24447974331324
802,100.41493277694885
803,100.19894194130703
804,99.38074555068498
805,103.91911069390613
806,110.5391154141776
807,104.23014978712673
808,104.5832274525556
809,101.00758759191986
810,105.6196900546964
811,115.63474914202632
812,104.97675434103228
813,99.08969786670586
814,97.20246215858084
815,102.51256600610768
816,99.40188973742487
817,98.69269255008084
818,87.92549971879679
819,116.45477014328779
820,107.77744857167222
821,95.94409086835576
822,95.94549346897571
823,100.67563374117967
824,95.88890887645701
825,97.59916139628905
826,95.02762994782731
827,104.01860291017132
828,95.04124879198608
829,101.55560355942859
830,99.1496575608449
831,97.88963139160063
832,100.04266785996991
833,115.97204186320985
834,105.06652982935826
835,116.78461164147333
836,112.24278355636656
837,105.90265363645369
838,107.47292587678108
839,105.04472763330689
840,105.22355213723809
841,98.75266033000028
842,98.45206188560508
843,97.59863700420254
844,94.79208675306069
845,96.82138477645564
846,96.81256490516698
847,126.0865347934807
848,99.89802936422089
849,104.56204923298966
850,98.47948733045416
851,95.11961377080291
852,91.30258569390034
853,97.90672870116516
854,97.17942799248367
855,92.20418372103043
856,96.72347871097942
857,97.39212503686849
858,92.10348534826485
859,91.32520800235123
860,88.42583060728671
861,87.26476770107037
862,91.99644944474764
863,89.85965594215806
864,90.86272398476854
865,88.90510689578726
866,88.37767715910977
867,86.14213225031668
868,90.74716643724669
869,112.31477360775855
870,87.23985639773096
871,90.41512370975097
872,89.8418504586092
873,88.24997116572621
874,90.12242600046905
875,85.09689436125629
876,91.33041264454219
877,91.36501602148265
878,95.48410390039137
879,88.44747698867566
880,96.6837888222622
881,150.40173178010733
882,99.86075641110322
883,135.64129531838034
884,106.76504094226584
885,126.05639262443646
886,125.05302448588284
887,111.81534356697757
888,111.22532168810768
889,110.38268971845523
890,105.57398780658514
891,106.84942340439807
892,127.96373613805385
893,116.9012584578881
894,114.9379184250192
895,109.17822914418626
896,104.10445388880558
897,103.47366849665696
898,105.51899203423066
899,104.40827667970937
900,105.23462788114516
901,103.59763472392575
902,145.84429834117185
903,130.71622128369376
904,112.74258607463511
905,113.81671110574027
906,111.57780819380756
907,112.71272668422205
908,112.08476949770127
909,111.30900256526543
910,114.68576373000953
911,108.46133988199975
912,107.72934585508997
913,120.78575614660498
914,129.50940810020415
915,112.85776838967256
916,110.71655029740955
917,107.97753459610442
918,107.34834317464028
919,116.20400047360494
920,105.82560225094133
921,128.68580168809106
922,130.12002858597617
923,110.32292580002677
924,110.02067566251473
925,115.05880669208942
926,125.7725217557443
927,113.89985400244464
928,112.22203767282573
929,109.46292677930853
930,109.4743729143936
931,108.55863803666622
932,115.1534253481461
933,108.21867592356048
934,114.79842612996163
935,132.65184157771805
936,117.36213982952138
937,114.79783726979305
938,109.61445104815695
939,116.22448276564464
940,109.97735587652734
941,108.08965663577669
942,111.11512373447172
943,104.50042233242186
944,102.83038882466597
945,110.04891235880818
946,114.2925111708636
947,111.97199155231993
948,121.8117670652181
949,108.6383021927767
950,100.41597606716375
951,124.86126197687116
952,113.35576891674452
953,111.83285081178988
954,107.53484411714626
955,106.40852306452481
956,106.60862153640825
957,104.93350726267364
958,107.66290738456547
959,116.1861737476616
960,110.82318303712259
961,110.5358167720011
962,106.48199156113446
963,104.36785041585728
964,107.85086687105138
965,103.35304319133071
966,117.75047751296252
967,100.91098353422308
968,109.82615501803879
969,101.98592605478377
970,102.7209993296857
971,99.33050006536905
972,100.09049497824655
973,96.89856195507531
974,97.92070369800705
975,101.86807480743998
976,97.11271613164648
977,113.87315957494906
978,112.18398151353702
979,99.0881006676858
980,111.63752548734622
981,102.35814012836128
982,120.53893172309124
983,110.85324087505545
984,102.54428764322665
985,101.16637848126213
986,115.30420176996985
987,102.95259509079725
988,107.65191197925193
989,102.62321726250433
990,103.33578971532935
991,103.68546897865296
992,98.72978600791487
993,97.50332152609457
994,102.91003983784643
995,100.15180881291627
996,102.76450457423084
997,98.85790308240283
998,105.38638168821595
999,93.9103690822666
1000,93.4643752048182
1001,105.06630577754804
1002,99.82632548236934
1003,94.83946135093277
1004,91.24657950603762
1005,97.16738283274361
1006,92.6158547948057
1007,99.73820842809923
1008,87.73685276413082
1009,92.31192736459715
1010,93.05542071477531
1011,98.5545757290519
1012,92.15700186407676
1013,89.25468006350192
1014,88.00701200567764
1015,85.97895248591126
1016,94.75838813497921
1017,86.35951746297147
1018,83.3143320291661
1019,82.88282071893673
1020,84.55035804050141
1021,115.58912862546663
1022,102.7259373358853
1023,89.169447198885
1024,97.53698951422955
1025,95.74614592274852
1026,93.34018555865273
1027,94.6513237867906
1028,89.53125642416938
1029,87.10403472656685
1030,84.47678861681786
1031,104.78230480507328
1032,103.51674696369474
1033,95.98474922981075
1034,91.90313274490663
1035,94.66591244698239
1036,94.95923716448982
1037,88.7833452604272
1038,86.83918550918298
1039,85.05482109479286
1040,86.62591576761042
1041,91.03233895382905
1042,86.55361469473658
1043,85.0628290094132
1044,85.6181412314185
1045,86.13645684798547
1046,118.14394099665563
1047,113.45450902698592
1048,93.2647643324396
1049,111.92846241749291
1050,99.75755269699772
1051,100.72971845122758
1052,93.65064749328866
1053,97.74317113816194
1054,88.46611508448683
1055,92.10904863744184
1056,86.74853900851443
1057,95.3226967427389
1058,95.21909538339102
1059,95.00991033462049
1060,93.71447135624072
1061,95.11093609294554
1062,98.12695409055027
1063,91.90379036457695
1064,96.61373859202972
1065,90.08465924394217
1066,103.04034043576509
1067,94.81950287966936
1068,94.76146879067424
1069,90.52933755321759
1070,92.09724205060189
1071,93.03907968079989
1072,90.68217969042372
1073,89.72206308292752
1074,82.8838281176929
1075,88.58790245012995
1076,94.38231710755329
1077,81.97682050560095
1078,92.3479272360669
1079,88.61932178532304
1080,89.45525178468768
1081,94.56307148723573
1082,84.39985502298495
1083,85.44468636518994
1084,82.74622575175167
1085,82.15246941958506
1086,87.63945346314934
1087,81.20574260841823
1088,82.04902946352675
1089,80.1451338036754
1090,81.9464023283748
1091,84.00506974482295
1092,80.51916482963314
1093,75.61854591629378
1094,80.81728106890537
1095,80.5635056502228
1096,109.75015783502775
1097,91.1715025253745
1098,86.05566274983633
1099,106.89743148786921
1100,117.68506032775369
1101,89.59795301141757
1102,89.79200466908335
1103,86.5920330818486
1104,90.56534555335642
1105,100.46510891838453
1106,85.71823265359511
1107,147.66372812645665
1108,134.2662027292919
1109,100.53686297322804
1110,103.78698231832468
1111,103.25701480016696
1112,99.861945693565
1113,99.80629750412594
1114,102.2492267113345
1115,100.79856678333452
1116,96.73694651791865
1117,100.14484102494694
1118,102.45362030873679
1119,96.86155378498933
1120,96.83440085431837
1121,92.71392635983021
1122,107.75618558660163
1123,120.68506176823017
1124,104.44639685475731
1125,103.91227599147373
1126,105.98132178112228
1127,98.18757796538597
1128,100.54324214859227
1129,97.61889222100328
1130,94.42266407719524
1131,95.35108855559417
1132,111.11038417761569
1133,91.63655056693729
1134,115.9509878193847
1135,96.95943418990079
1136,93.35426496950619
1137,97.3320480761615
1138,94.5872359328964
1139,95.3366882829711
1140,103.38382077222914
1141,105.09651660659078
1142,97.19954948140042
1143,92.56709962365548
1144,95.21003421900505
1145,96.36305503306372
1146,92.45764434150657
1147,97.6781246423852
1148,88.40263719793369
1149,93.19601656299456
1150,94.52486888909938
1151,89.8676805315127
1152,115.09184125504686
1153,99.12955658426579
1154,101.55790026880841
1155,96.0805572779556
1156,100.8632627063062
1157,100.7159374755925
1158,128.20963707907868
1159,98.60734750222072
1160,101.81457040714203
1161,99.30347884866033
1162,97.05550924600912
1163,97.11675208015654
1164,99.66792233699273
1165,98.40441841421523
1166,103.71288490844671
1167,90.0149483985473
1168,94.13132959091523
1169,91.29558019521849
1170,93.9188777229672
1171,92.34446362707916
1172,92.12184258071318
1173,94.40920561488221
1174,106.30261212371971
1175,100.73867087040583
1176,118.71336969153404
1177,118.15660091267395
1178,116.54569467293496
1179,103.5576158767766
1180,109.16838444269058
1181,109.32131371890264
1182,110.4291573517406
1183,101.33992245072112
1184,101.27774520635325
1185,96.87591621873698
1186,102.51713857907833
1187,102.07253870511002
1188,101.71950545348236
1189,103.90527320311122
1190,97.925352424654
1191,99.45804173593925
1192,104.55834224077552
1193,96.66017436409746
1194,94.36931818626712
1195,100.7566970936132
1196,95.36273319614924
1197,97.00610918929921
1198,92.01594739678431
1199,98.38325791877054
1200,91.69501812578952
1201,86.85290449362981
1202,86.13102375075076
1203,83.75306988633693
1204,104.88092390501068
1205,90.85050528638628
1206,88.52177522434889
1207,101.1382347849312
1208,86.87318585623305
1209,91.5065370305611
1210,90.5459341615243
1211,91.88699788956075
1212,89.14251054664629
1213,92.62794956732382
1214,90.74742020680912
1215,83.17806095455077
1216,82.45368587687943
1217,87.74916546138272
1218,85.13144743197579
1219,89.46968681393791
1220,80.13143776395674
1221,81.94786375085756
1222,89.59484449504862
1223,81.02169465720709
1224,82.06684169654217
1225,85.42900909146897
1226,76.32511381837861
1227,86.50504099405063
1228,81.79919506037663
1229,109.0769323705627
1230,88.47449683443396
1231,88.62232014738439
1232,90.53412576520478
1233,83.88309151797105
1234,80.91277202336975
1235,88.28664430065646
1236,106.45252428056149
1237,89.72594443648195
1238,91.75872045845057
1239,87.54721816356228
1240,80.64883863373866
1241,111.78937403489186
1242,89.63660025269152
1243,84.69639655403327
1244,82.99962382325165
1245,92.04881009927213
1246,85.46016694247169
1247,81.38747697150026
1248,103.96644681680476
1249,88.23168297751673
1250,87.03128064983659
1251,87.52891847149056
1252,87.64278786608122
1253,87.1569196067422
1254,85.4016514708013
1255,89.483328201528
1256,79.23089432801733
1257,82.38501438299369
1258,82.63844946703088
1259,86.9849504001171
1260,86.3141278654426
1261,82.94903604412055
1262,80.33112268193999
1263,105.78411915707184
1264,101.89343207291962
1265,90.93768734014495
1266,89.4615461060754
1267,84.89314349194973
1268,98.88291327340217
1269,93.02462555226711
1270,91.21016485194008
1271,85.75083236837546
1272,92.65249022250035
1273,115.86788732566909
1274,111.34670426880848
1275,94.15492024726366
1276,96.77168968413805
1277,133.03371659872934
1278,99.47371863976487
1279,98.68527747648875
1280,97.89904355273914
1281,96.5246402126099
1282,95.18722057310775
1283,98.54152217913845
1284,94.63041269675897
1285,95.46629442964297
1286,93.26009963728714
1287,90.18214393121251
1288,102.21234894299428
1289,92.20590096350922
1290,111.7408745330143
1291,89.64080423201928
1292,94.3166563059512
1293,92.58382968600915
1294,109.35467294296228
1295,90.77635152293996
1296,102.47274101213165
1297,97.18667276478405
1298,91.86635160557341
1299,92.19411600199874
1300,87.43984968164266
1301,86.03059741774744
1302,84.72493887230748
1303,108.32331520917957
1304,95.6029747128868
1305,90.6968619190213
1306,90.19175209285108
1307,93.2193585213648
1308,92.79650386337056
1309,89.26299998606314
1310,95.95623090004706
1311,93.65281015104372
1312,90.76031412883496
1313,91.36405032911458
1314,87.75514307709038
1315,81.76400666808894
1316,107.34272155195184
1317,89.96937493018768
1318,114.30091890683009
1319,90.94157195307787
1320,96.98793215136396
1321,98.52244662057969
1322,101.25589712307011
1323,97.71985859234238
1324,95.18813092326872
1325,96.79086272091124
1326,98.90526733484424
1327,97.83198513103133
1328,99.60922234161274
1329,92.55483942130739
1330,96.51531667595273
1331,97.08587870882775
1332,91.05288135420004
1333,94.24460983366684
1334,91.75068488720744
1335,94.30279862118542
1336,93.01816897153489
1337,87.24775249810136
1338,96.41190004067853
1339,90.04968439423169
1340,97.3316161070598
1341,83.84045383469808
1342,115.48058085153693
1343,91.75534312398206
1344,95.88995773321541
1345,112.99570891561811
1346,98.57802027902977
1347,97.8716026998487
1348,103.42060741434095
1349,98.71143319788992
1350,97.09521647190572
1351,93.6299276621801
1352,110.46612463247578
1353,95.66005265072766
1354,93.55013342815225
1355,98.35648953546834
1356,91.4747425267993
1357,90.88952253827395
1358,101.77194486675727
1359,90.0546429274981
1360,97.03793174686064
1361,90.26101034323229
1362,152.01994366729826
