编号,推算时间,表面位移_mm,局部差分突变评分
2441,2024-05-20 22:40:00,36.692,6.824259448821948
2478,2024-05-21 04:50:00,39.988,17.368137056522965
2479,2024-05-21 05:00:00,37.701,14.710322278109034
2492,2024-05-21 07:10:00,36.076,13.231499579519431
2493,2024-05-21 07:20:00,38.159,12.852796138914632
2506,2024-05-21 09:30:00,40.452,14.51590219596949
2507,2024-05-21 09:40:00,38.363,15.498624625364563
2523,2024-05-21 12:20:00,39.819,6.857322721345172
2524,2024-05-21 12:30:00,38.844,7.768272885006028
2568,2024-05-21 19:50:00,37.721,17.759119337428896
2569,2024-05-21 20:00:00,40.268,18.730089551620544
2574,2024-05-21 20:50:00,41.612,9.087095287014286
2575,2024-05-21 21:00:00,40.323,9.102148496442464
2592,2024-05-21 23:50:00,37.103,24.37159944242003
2593,2024-05-22 00:00:00,41.074,25.4186660499884
2639,2024-05-22 07:40:00,39.825,13.170319566621433
2640,2024-05-22 07:50:00,42.19,13.850726911707417
2662,2024-05-22 11:30:00,44.843,9.52069648953487
2663,2024-05-22 11:40:00,43.136,9.055953452817196
2686,2024-05-22 15:30:00,42.447,6.055753992692109
2713,2024-05-22 20:00:00,40.932,17.692798653434526
2714,2024-05-22 20:10:00,44.435,17.46629056256551
2760,2024-05-23 03:50:00,49.117,16.940094843777196
2761,2024-05-23 04:00:00,45.922,16.73774761593425
2772,2024-05-23 05:50:00,43.226,17.358382024877688
2773,2024-05-23 06:00:00,46.29,22.055122576004386
2805,2024-05-23 11:20:00,45.175,13.574126534466279
2806,2024-05-23 11:30:00,47.329,12.71294636834885
2807,2024-05-23 11:40:00,49.879,15.669419588211298
2808,2024-05-23 11:50:00,47.372,17.145555105894815
2815,2024-05-23 13:00:00,50.563,17.338025861902572
2816,2024-05-23 13:10:00,47.644,17.477593890297513
2858,2024-05-23 20:10:00,51.078,13.248925632576613
2859,2024-05-23 20:20:00,48.889,13.39345936675018
2984,2024-05-24 17:10:00,54.259,11.00835535837161
2985,2024-05-24 17:20:00,52.963,11.108279915331172
3015,2024-05-24 22:20:00,52.073,19.173523989387267
3016,2024-05-24 22:30:00,54.081,17.69863752866522
3053,2024-05-25 04:40:00,52.376,16.76193151856267
3054,2024-05-25 04:50:00,55.401,16.628148227426852
3092,2024-05-25 11:10:00,59.108,17.699823446484494
3093,2024-05-25 11:20:00,56.643,18.401867459632008
3118,2024-05-25 15:30:00,55.948,14.913740126204166
3119,2024-05-25 15:40:00,57.714,12.875279164230545
3122,2024-05-25 16:10:00,61.115,20.67153584757858
3123,2024-05-25 16:20:00,57.701,25.33739200816268
3298,2024-05-26 21:30:00,66.97,15.305751849660949
3299,2024-05-26 21:40:00,64.222,14.402971910053797
3495,2024-05-28 06:20:00,74.918,23.552672277883904
3496,2024-05-28 06:30:00,71.318,24.90846683481154
3528,2024-05-28 11:50:00,72.445,7.906901576437539
3534,2024-05-28 12:50:00,74.865,13.870468390422797
3535,2024-05-28 13:00:00,72.848,13.496363643508088
3606,2024-05-29 00:50:00,77.219,12.944159743661318
3607,2024-05-29 01:00:00,75.681,11.560626565650363
3640,2024-05-29 06:30:00,79.256,17.874005126128296
3641,2024-05-29 06:40:00,76.642,19.194284910635435
3672,2024-05-29 11:50:00,80.577,18.981049742230304
3673,2024-05-29 12:00:00,78.049,18.812427052361155
3736,2024-05-29 22:30:00,79.424,7.211377839637697
3743,2024-05-29 23:40:00,82.218,9.399153639002257
3744,2024-05-29 23:50:00,80.66,9.673777379160766
3815,2024-05-30 11:40:00,82.355,6.465118835279104
3829,2024-05-30 14:00:00,86.768,14.313620697289558
3830,2024-05-30 14:10:00,84.078,13.763668580598042
3918,2024-05-31 04:50:00,84.958,21.814018221122804
3919,2024-05-31 05:00:00,87.575,21.26290991764804
3969,2024-05-31 13:20:00,85.694,29.58719774817176
3970,2024-05-31 13:30:00,89.838,27.633886415761562
3983,2024-05-31 15:40:00,87.421,15.402628827733272
3984,2024-05-31 15:50:00,90.439,15.655562862536977
4045,2024-06-01 02:00:00,94.319,7.595352465411641
4046,2024-06-01 02:10:00,93.249,6.357808550197863
4171,2024-06-01 23:00:00,96.228,15.980697731107107
4172,2024-06-01 23:10:00,98.775,13.771774441442737
4275,2024-06-02 16:20:00,105.72,19.551694167107904
4276,2024-06-02 16:30:00,103.39,21.421826520979955
4284,2024-06-02 17:50:00,105.239,14.964701650256341
4285,2024-06-02 18:00:00,103.786,13.534781240165815
4294,2024-06-02 19:30:00,102.305,18.278699581817566
4295,2024-06-02 19:40:00,104.124,16.32637221910971
4345,2024-06-03 04:00:00,105.003,12.465272263745762
4346,2024-06-03 04:10:00,106.318,10.638170712758269
4381,2024-06-03 10:00:00,111.528,28.678664064330064
4382,2024-06-03 10:10:00,108.249,28.61036120261095
4397,2024-06-03 12:40:00,110.733,12.02013532414449
4398,2024-06-03 12:50:00,108.963,12.567552314327672
4427,2024-06-03 17:40:00,112.407,12.358042559224197
4428,2024-06-03 17:50:00,110.403,12.923497476385341
4432,2024-06-03 18:30:00,108.573,11.765409568604944
4433,2024-06-03 18:40:00,110.734,13.578898874744675
4448,2024-06-03 21:10:00,108.586,14.772453355093951
4449,2024-06-03 21:20:00,111.302,14.855382546832958
4510,2024-06-04 07:30:00,117.314,20.561537894557883
4511,2024-06-04 07:40:00,114.478,20.829435066846322
4561,2024-06-04 16:00:00,112.998,36.755126591748166
4562,2024-06-04 16:10:00,116.948,36.973493463140585
4607,2024-06-04 23:40:00,122.004,26.244608397581878
4608,2024-06-04 23:50:00,119.35,23.416935598237938
4653,2024-06-05 07:20:00,124.539,16.35907746793972
4654,2024-06-05 07:30:00,121.498,17.65679623748551
4767,2024-06-06 02:20:00,125.084,16.637438733758
4769,2024-06-06 02:40:00,127.308,15.06624126691367
4859,2024-06-06 17:40:00,130.404,7.089035533273538
4860,2024-06-06 17:50:00,132.162,7.892000723126442
4861,2024-06-06 18:00:00,130.418,8.158126328906384
4862,2024-06-06 18:10:00,132.264,8.09838571878362
4870,2024-06-06 19:30:00,135.275,9.2705822321554
4872,2024-06-06 19:50:00,132.775,7.118415918561943
4879,2024-06-06 21:00:00,129.054,14.740886759528248
4880,2024-06-06 21:10:00,133.286,15.317467570048512
4943,2024-06-07 07:40:00,132.57,26.344430343445254
4944,2024-06-07 07:50:00,136.463,24.061039522637245
4975,2024-06-07 13:00:00,140.611,14.176569417364247
4976,2024-06-07 13:10:00,138.312,14.452497455332255
5049,2024-06-08 01:20:00,143.38,6.531607098179775
5050,2024-06-08 01:30:00,142.011,8.145773018295008
5077,2024-06-08 06:00:00,140.175,30.948749079048312
5078,2024-06-08 06:10:00,143.642,30.32545954119534
5117,2024-06-08 12:40:00,143.917,13.28227957123334
5118,2024-06-08 12:50:00,146.167,14.235646317801303
5126,2024-06-08 14:10:00,144.24,15.54360165939877
5127,2024-06-08 14:20:00,146.263,14.967632022093385
5185,2024-06-09 00:00:00,147.662,10.111546816637327
5186,2024-06-09 00:10:00,149.697,10.797291593237015
5247,2024-06-09 10:20:00,156.94,24.885497163929344
5248,2024-06-09 10:30:00,153.108,27.0700260478571
5383,2024-06-10 09:00:00,157.889,16.19396621605596
5384,2024-06-10 09:10:00,160.851,17.87091113181865
5518,2024-06-11 07:30:00,169.446,9.7729405787968
5519,2024-06-11 07:40:00,168.196,9.22760762432654
5550,2024-06-11 12:50:00,171.206,6.993748845834293
5551,2024-06-11 13:00:00,169.942,8.637410793684733
5599,2024-06-11 21:00:00,172.461,6.708934754258837
5600,2024-06-11 21:10:00,173.211,6.106389675793405
5642,2024-06-12 04:10:00,173.846,14.470892657862546
5643,2024-06-12 04:20:00,175.69,13.528138528139367
5679,2024-06-12 10:20:00,180.531,14.020183991856646
5680,2024-06-12 10:30:00,178.109,13.654325130868614
5747,2024-06-12 21:40:00,185.045,17.55875401029027
5748,2024-06-12 21:50:00,182.78,15.88800455656124
5801,2024-06-13 06:40:00,189.395,18.82492652473411
5802,2024-06-13 06:50:00,186.11,19.225869084232183
5812,2024-06-13 08:30:00,182.706,26.951230768146807
5813,2024-06-13 08:40:00,186.736,27.626307086609014
5918,2024-06-14 02:10:00,189.703,21.841237138690396
5919,2024-06-14 02:20:00,193.334,21.663416847555656
5997,2024-06-14 15:20:00,201.405,17.081182654468083
5998,2024-06-14 15:30:00,198.569,17.26218828678592
6016,2024-06-14 18:30:00,202.841,17.564178069944912
6017,2024-06-14 18:40:00,199.756,17.218707193139632
6118,2024-06-15 11:30:00,208.138,10.791852151623182
6119,2024-06-15 11:40:00,205.946,11.028170081953098
6126,2024-06-15 12:50:00,208.193,6.954848427186593
6127,2024-06-15 13:00:00,206.69,7.306983227662982
6161,2024-06-15 18:40:00,206.079,20.437795271017976
6162,2024-06-15 18:50:00,208.801,19.139581873746053
6278,2024-06-16 14:10:00,214.798,10.077685465123137
6279,2024-06-16 14:20:00,216.482,10.758788879104813
6283,2024-06-16 15:00:00,220.567,25.75205719681795
6284,2024-06-16 15:10:00,216.773,25.934169701876552
6327,2024-06-16 22:20:00,223.595,24.915688655066766
6328,2024-06-16 22:30:00,219.865,27.41733182935587
6362,2024-06-17 04:10:00,220.329,11.502801871074867
6363,2024-06-17 04:20:00,222.342,11.879544457449287
6384,2024-06-17 07:50:00,226.133,14.972479561716204
6385,2024-06-17 08:00:00,223.843,13.925548158043549
6402,2024-06-17 10:50:00,226.474,8.76837987319732
6403,2024-06-17 11:00:00,225.398,7.188144379565556
6443,2024-06-17 17:40:00,226.404,13.489815189529898
6444,2024-06-17 17:50:00,227.855,10.73695174096886
6569,2024-06-18 14:40:00,235.742,6.429320175193908
6577,2024-06-18 16:00:00,239.277,11.508878364406462
6578,2024-06-18 16:10:00,237.347,12.363601260863321
6602,2024-06-18 20:10:00,241.936,18.223403492531585
6603,2024-06-18 20:20:00,239.052,17.877043372800486
6632,2024-06-19 01:10:00,239.602,8.029928783078162
6633,2024-06-19 01:20:00,241.104,8.407876191405506
6688,2024-06-19 10:30:00,243.371,9.049963394141551
6689,2024-06-19 10:40:00,244.86,9.252965467381916
6701,2024-06-19 12:40:00,241.92,28.94445128710945
6702,2024-06-19 12:50:00,245.779,27.764092458024994
6726,2024-06-19 16:50:00,243.718,29.862275410635448
6727,2024-06-19 17:00:00,247.569,30.311935916952798
6745,2024-06-19 20:00:00,246.514,20.322318986827952
6746,2024-06-19 20:10:00,248.733,18.77186620205661
6762,2024-06-19 22:50:00,247.186,22.898961284235032
6763,2024-06-19 23:00:00,250.066,22.54726253107384
6767,2024-06-19 23:40:00,247.107,25.16247292117739
6768,2024-06-19 23:50:00,250.287,24.654621055218644
6796,2024-06-20 04:30:00,250.078,17.001818799222388
6797,2024-06-20 04:40:00,252.393,16.991104300522956
6828,2024-06-20 09:50:00,251.571,21.874661101449664
6829,2024-06-20 10:00:00,252.623,6.571276310148333
6830,2024-06-20 10:10:00,254.91,14.812084203159541
6857,2024-06-20 14:40:00,252.876,21.00955101212953
6858,2024-06-20 14:50:00,256.701,20.942659366561905
6962,2024-06-21 08:10:00,261.917,16.172954254711303
6963,2024-06-21 08:20:00,264.029,15.046332326793848
6982,2024-06-21 11:30:00,262.309,23.473847012943573
6983,2024-06-21 11:40:00,265.324,23.258028423824037
6987,2024-06-21 12:20:00,264.027,13.66276153812046
6988,2024-06-21 12:30:00,265.826,14.890680613064905
7075,2024-06-22 03:00:00,269.457,19.95306730232892
7076,2024-06-22 03:10:00,272.035,18.131472028948767
7114,2024-06-22 09:30:00,277.174,11.85096987311387
7115,2024-06-22 09:40:00,274.231,16.219896835035307
7195,2024-06-22 23:00:00,277.938,15.991273045549612
7196,2024-06-22 23:10:00,280.985,15.991958329522664
7360,2024-06-24 02:30:00,294.76,7.01061607577169
7361,2024-06-24 02:40:00,293.162,8.599757183326226
7365,2024-06-24 03:20:00,296.56,15.727898164158352
7366,2024-06-24 03:30:00,293.737,14.920553164178743
7401,2024-06-24 09:20:00,294.472,12.859449993756181
7402,2024-06-24 09:30:00,296.431,12.23906048021714
7470,2024-06-24 20:50:00,298.952,29.79922289816988
7471,2024-06-24 21:00:00,301.56,27.75363616861088
7502,2024-06-25 02:10:00,302.635,16.423314683117308
7503,2024-06-25 02:20:00,304.147,14.025440204413627
7572,2024-06-25 13:50:00,311.183,18.57443783789479
7573,2024-06-25 14:00:00,309.478,18.667828866129575
7631,2024-06-25 23:40:00,317.172,26.63019540729676
7632,2024-06-25 23:50:00,313.932,26.963377589688445
7740,2024-06-26 17:50:00,326.139,18.604299077935842
7741,2024-06-26 18:00:00,322.367,20.15170853697844
7748,2024-06-26 19:10:00,320.598,11.695761536770755
7749,2024-06-26 19:20:00,322.957,10.98109776039863
7833,2024-06-27 09:20:00,332.705,20.7593267083345
7834,2024-06-27 09:30:00,329.444,20.902968258963565
7893,2024-06-27 19:20:00,332.097,13.161851792724603
7894,2024-06-27 19:30:00,334.117,11.967569989247583
7994,2024-06-28 12:10:00,343.694,9.102351025945431
7995,2024-06-28 12:20:00,342.455,8.683249971514012
8020,2024-06-28 16:30:00,346.339,10.454606771889075
8021,2024-06-28 16:40:00,344.756,10.063161241836822
8025,2024-06-28 17:20:00,344.136,6.395829043810221
8026,2024-06-28 17:30:00,345.406,6.9815710191448845
8053,2024-06-28 22:00:00,349.29,8.935264184820435
8054,2024-06-28 22:10:00,348.155,8.608449074559125
8055,2024-06-28 22:20:00,345.184,20.561950974538835
8056,2024-06-28 22:30:00,348.217,20.311211427129233
8119,2024-06-29 09:00:00,357.821,14.444846353385458
8120,2024-06-29 09:10:00,355.589,11.939493145365658
8135,2024-06-29 11:40:00,360.609,13.569413477917125
8136,2024-06-29 11:50:00,357.407,13.887061281006673
8144,2024-06-29 13:10:00,355.465,12.116454486501592
8145,2024-06-29 13:20:00,358.588,12.063632921000506
8149,2024-06-29 14:00:00,354.984,17.214177209250504
8150,2024-06-29 14:10:00,359.231,18.85340266728571
8157,2024-06-29 15:20:00,357.467,13.44361719230595
8158,2024-06-29 15:30:00,360.155,12.649218496755532
8161,2024-06-29 16:00:00,364.057,15.319255879617414
8162,2024-06-29 16:10:00,360.819,17.189447340397862
8163,2024-06-29 16:20:00,364.142,14.543129526247398
8164,2024-06-29 16:30:00,361.072,16.333750108225424
8182,2024-06-29 19:30:00,365.733,11.272884321173086
8183,2024-06-29 19:40:00,363.562,13.812397726671898
8241,2024-06-30 05:20:00,368.633,19.87499437925234
8242,2024-06-30 05:30:00,372.314,19.96606968518544
8278,2024-06-30 11:30:00,375.653,20.54282350159954
8279,2024-06-30 11:40:00,378.339,20.036343149148927
8340,2024-06-30 21:50:00,391.819,23.967950708855337
8341,2024-06-30 22:00:00,389.047,25.28059669377894
8365,2024-07-01 02:00:00,396.967,22.862024885505747
8366,2024-07-01 02:10:00,393.886,21.00556936656407
8375,2024-07-01 03:40:00,396.701,10.473553141529385
8376,2024-07-01 03:50:00,395.514,10.698818943416173
8435,2024-07-01 13:40:00,405.327,14.23384107884622
8436,2024-07-01 13:50:00,407.679,15.810643609223277
8463,2024-07-01 18:20:00,411.663,12.400793650793085
8464,2024-07-01 18:30:00,413.372,10.402455424501328
8537,2024-07-02 06:40:00,426.914,23.548525211295857
8538,2024-07-02 06:50:00,430.124,21.781652678318515
8562,2024-07-02 10:50:00,432.654,24.912642567759832
8563,2024-07-02 11:00:00,436.145,23.54190328237202
8564,2024-07-02 11:10:00,438.994,18.88574126534137
8565,2024-07-02 11:20:00,436.793,17.551110613615673
8586,2024-07-02 14:50:00,444.974,14.448555626211876
8587,2024-07-02 15:00:00,442.368,13.672891252814024
8607,2024-07-02 18:20:00,444.617,14.356234213894355
8608,2024-07-02 18:30:00,447.509,12.93663571772472
8628,2024-07-02 21:50:00,450.234,11.977028771845214
8629,2024-07-02 22:00:00,452.97,11.991482145262497
8636,2024-07-02 23:10:00,452.325,13.991359600422648
8637,2024-07-02 23:20:00,454.915,12.309456360449285
8728,2024-07-03 14:30:00,476.899,23.955300844646548
8729,2024-07-03 14:40:00,480.496,23.977058611081183
8830,2024-07-04 07:30:00,512.878,13.348987448549753
8831,2024-07-04 07:40:00,511.442,12.911680252844722
8866,2024-07-04 13:30:00,519.317,21.657285113372623
8867,2024-07-04 13:40:00,522.731,18.94705860711311
8886,2024-07-04 16:50:00,530.945,9.564400499245975
8887,2024-07-04 17:00:00,529.511,10.859301227572276
8942,2024-07-05 02:10:00,545.353,24.51773910696278
8943,2024-07-05 02:20:00,548.706,25.428301632255273
8973,2024-07-05 07:20:00,556.185,22.508521530166664
8974,2024-07-05 07:30:00,559.588,21.173447037181734
8990,2024-07-05 10:10:00,561.509,25.154537735780078
8991,2024-07-05 10:20:00,565.673,25.233889589836547
9181,2024-07-06 18:00:00,638.263,6.206677594776292
9182,2024-07-06 18:10:00,639.781,7.514780885881853
9241,2024-07-07 04:00:00,662.321,16.600407868522623
9242,2024-07-07 04:10:00,665.118,19.028574602637644
9264,2024-07-07 07:50:00,670.772,25.63064886010809
9265,2024-07-07 08:00:00,674.908,27.542941343019866
9382,2024-07-08 03:30:00,729.983,12.469125633161791
9383,2024-07-08 03:40:00,728.442,11.979672161682991
9404,2024-07-08 07:10:00,742.251,22.412026288544457
9405,2024-07-08 07:20:00,738.726,23.828027538335466
9448,2024-07-08 14:30:00,761.615,15.283960609735153
9449,2024-07-08 14:40:00,759.951,15.898710759089608
9460,2024-07-08 16:30:00,768.912,23.45943098674408
9461,2024-07-08 16:40:00,765.686,23.84485427787388
9524,2024-07-09 03:10:00,796.775,11.921232027956519
9525,2024-07-09 03:20:00,799.003,12.216619149180184
9538,2024-07-09 05:30:00,804.824,15.431531012278729
9539,2024-07-09 05:40:00,807.693,15.45134443903708
9574,2024-07-09 11:30:00,828.873,22.675405841788987
9575,2024-07-09 11:40:00,832.719,21.535029712365287
9638,2024-07-09 22:10:00,889.315,14.870537450082358
9639,2024-07-09 22:20:00,888.313,16.008997544209535
9722,2024-07-10 12:10:00,981.925,17.8171660171959
9723,2024-07-10 12:20:00,980.611,20.315986731257922
9810,2024-07-11 02:50:00,1085.147,18.321503803081658
9811,2024-07-11 03:00:00,1083.49,18.47067002873597
9850,2024-07-11 09:30:00,1127.091,18.16567680594172
9851,2024-07-11 09:40:00,1130.523,20.48082076415133
9885,2024-07-11 15:20:00,1172.297,13.106841622743259
9886,2024-07-11 15:30:00,1170.861,14.993129339926476
9899,2024-07-11 17:40:00,1184.894,7.975228702335329
9900,2024-07-11 17:50:00,1187.148,6.920015772704255
9940,2024-07-12 00:30:00,1232.86,7.042807680182044
9941,2024-07-12 00:40:00,1235.406,7.70605692699716
9949,2024-07-12 02:00:00,1242.359,10.48912795247621
9950,2024-07-12 02:10:00,1245.651,11.245025630655169
9968,2024-07-12 05:10:00,1270.335,19.212447726976567
9969,2024-07-12 05:20:00,1267.894,18.843585592887937
9988,2024-07-12 08:30:00,1288.458,7.296763670698497
9989,2024-07-12 08:40:00,1291.214,8.098960472816293
