时间,表面位移_mm,降雨量_mm,孔隙水压力_kPa,微震事件数,干湿入渗系数,爆破点距离_m,单段最大药量_kg,是否爆破,爆破点距离_m_建模,单段最大药量_kg_建模,稳健趋势位移_mm,平滑速度_mm_h,阶段标签,阶段内序号,阶段内相对进程,最优组合拟合位移_mm,最优组合残差_mm,预警等级编码,预警等级
2024-01-01 20:10:00,0.533,0.0,33.04,2,0.5403,,,0,0.0,0.0,0.822,0.01200000000000001,1,21,0.004498714652956298,-93.46748063246196,94.00048063246196,0,正常
2024-01-01 20:20:00,0.594,0.0,33.13,0,0.5362,,,0,0.0,0.0,0.824,0.01200000000000001,1,22,0.004712939160239932,-93.06369158558459,93.65769158558459,0,正常
2024-01-01 20:30:00,0.522,0.0,32.79,0,0.4895,,,0,0.0,0.0,0.8345,0.06300000000000039,1,23,0.004927163667523565,-92.27637870969374,92.79837870969375,0,正常
2024-01-01 20:40:00,0.926,0.0,32.88,0,0.5735,,,0,0.0,0.0,0.845,0.06299999999999972,1,24,0.005141388174807198,-91.01148877707965,91.93748877707965,0,正常
2024-01-01 20:50:00,0.546,0.0,32.58,1,0.442,,,0,0.0,0.0,0.847,0.01200000000000001,1,25,0.005355612682090831,-91.84291494185595,92.38891494185596,0,正常
2024-01-01 21:00:00,0.785,0.0,32.5,1,0.5477,,,0,0.0,0.0,0.849,0.01200000000000001,1,26,0.005569837189374464,-93.19667183025308,93.98167183025308,0,正常
2024-01-01 21:10:00,0.726,0.0,32.44,0,0.4172,,,0,0.0,0.0,0.872,0.13800000000000012,1,27,0.005784061696658098,-90.02484409690783,90.75084409690783,0,正常
2024-01-01 21:20:00,0.663,0.0,32.75,0,0.545,,,0,0.0,0.0,0.895,0.13800000000000012,1,28,0.005998286203941731,-90.31590327626282,90.97890327626281,0,正常
2024-01-01 21:30:00,0.721,0.0,32.86,1,0.5134,,,0,0.0,0.0,0.896,0.006000000000000005,1,29,0.006212510711225364,-92.3111459576869,93.03214595768691,0,正常
2024-01-01 21:40:00,0.978,0.0,32.68,0,0.5014,,,0,0.0,0.0,0.897,0.006000000000000005,1,30,0.006426735218508998,-91.35952422403125,92.33752422403124,0,正常
2024-01-01 21:50:00,0.714,0.0,32.71,1,0.5074,,,0,0.0,0.0,0.9055,0.05099999999999971,1,31,0.006640959725792631,-91.80158649118789,92.51558649118789,0,正常
2024-01-01 22:00:00,0.536,0.0,32.63,1,0.5175,,,0,0.0,0.0,0.914,0.05100000000000038,1,32,0.006855184233076264,-91.51996680585535,92.05596680585535,0,正常
2024-01-01 22:10:00,0.808,0.0,32.58,0,0.6078,,,0,0.0,0.0,0.9175,0.020999999999999686,1,33,0.007069408740359897,-90.94200470172086,91.75000470172087,0,正常
2024-01-01 22:20:00,1.051,0.0,32.95,0,0.5283,,,0,0.0,0.0,0.921,0.02100000000000035,1,34,0.00728363324764353,-91.15165509541976,92.20265509541976,0,正常
2024-01-01 22:30:00,0.656,0.0,33.02,0,0.5182,,,0,0.0,0.0,0.9235,0.01499999999999968,1,35,0.0074978577549271634,-89.58510050726886,90.24110050726887,0,正常
2024-01-01 22:40:00,0.637,0.0,32.69,1,0.511,,,0,0.0,0.0,0.921,-0.01499999999999968,1,36,0.007712082262210797,-90.52283773978297,91.15983773978297,0,正常
2024-01-01 22:50:00,0.627,0.0,32.27,1,0.5343,,,0,0.0,0.0,0.9235,0.01499999999999968,1,37,0.007926306769494431,-89.38072609476671,90.00772609476671,0,正常
2024-01-01 23:00:00,1.097,0.0,32.12,0,0.5527,,,0,0.0,0.0,0.926,0.015000000000000346,1,38,0.008140531276778063,-87.12543837093426,88.22243837093426,0,正常
2024-01-01 23:10:00,0.0,0.0,31.6,0,0.6223,,,0,0.0,0.0,0.929,0.018000000000000016,1,39,0.008354755784061696,-85.90911454517709,85.90911454517709,0,正常
2024-01-01 23:20:00,0.752,0.0,31.38,0,0.6576,,,0,0.0,0.0,0.932,0.018000000000000016,1,40,0.00856898029134533,-84.9316769174643,85.6836769174643,0,正常
2024-01-01 23:30:00,0.897,0.0,31.3,0,0.498,,,0,0.0,0.0,0.94,0.047999999999999376,1,41,0.008783204798628963,-84.45006844122645,85.34706844122645,0,正常
2024-01-01 23:40:00,1.308,0.0,31.31,1,0.4918,,,0,0.0,0.0,0.948,0.04800000000000004,1,42,0.008997429305912597,-84.81874612023262,86.12674612023262,0,正常
2024-01-01 23:50:00,1.301,0.0,31.21,0,0.4808,,,0,0.0,0.0,0.9564999999999999,0.05099999999999971,1,43,0.00921165381319623,-83.0090089432033,84.3100089432033,0,正常
2024-01-02 00:00:00,0.652,0.0,30.99,0,0.5456,,,0,0.0,0.0,0.965,0.05100000000000038,1,44,0.009425878320479864,-74.369019608293,75.021019608293,0,正常
2024-01-02 00:10:00,1.288,0.0,30.77,1,0.4777,,,0,0.0,0.0,0.9715,0.03900000000000037,1,45,0.009640102827763496,-76.14323421281279,77.43123421281278,0,正常
2024-01-02 00:20:00,0.631,0.0,31.01,1,0.392,,,0,0.0,0.0,0.978,0.0389999999999997,1,46,0.00985432733504713,-78.14734840440315,78.77834840440315,0,正常
2024-01-02 00:30:00,1.051,0.0,31.02,1,0.5082,,,0,0.0,0.0,0.98,0.01200000000000001,1,47,0.010068551842330763,-79.61801013489958,80.66901013489958,0,正常
2024-01-02 00:40:00,0.921,0.0,30.86,0,0.6294,,,0,0.0,0.0,0.982,0.01200000000000001,1,48,0.010282776349614395,-77.59441383764783,78.51541383764784,0,正常
2024-01-02 00:50:00,1.268,0.0,30.77,0,0.5058,,,0,0.0,0.0,0.984,0.01200000000000001,1,49,0.01049700085689803,-77.52832258473973,78.79632258473973,0,正常
2024-01-02 01:00:00,1.022,0.0,30.7,1,0.5731,,,0,0.0,0.0,0.986,0.01200000000000001,1,50,0.010711225364181662,-79.33620303137945,80.35820303137946,0,正常
2024-01-02 01:10:00,0.82,0.0,30.49,0,0.5176,,,0,0.0,0.0,0.986,0.0,1,51,0.010925449871465296,-77.44435723149354,78.26435723149353,0,正常
2024-01-02 01:20:00,1.476,0.0,30.41,0,0.4978,,,0,0.0,0.0,0.986,0.0,1,52,0.011139674378748929,-75.72929186755982,77.20529186755982,0,正常
2024-01-02 01:30:00,1.296,0.0,30.24,0,0.5739,,,0,0.0,0.0,0.987,0.006000000000000005,1,53,0.011353898886032563,-74.04569792863367,75.34169792863368,0,正常
2024-01-02 01:40:00,0.82,0.0,30.18,0,0.4872,,,0,0.0,0.0,0.988,0.006000000000000005,1,54,0.011568123393316195,-74.0863862916508,74.90638629165079,0,正常
2024-01-02 01:50:00,0.806,0.0,30.46,0,0.5903,,,0,0.0,0.0,0.993,0.030000000000000027,1,55,0.01178234790059983,-74.68772495736334,75.49372495736334,0,正常
2024-01-02 02:00:00,2.226,0.0,30.36,0,0.4773,,,0,0.0,0.0,0.998,0.030000000000000027,1,56,0.011996572407883462,-73.16735141254958,75.39335141254958,0,正常
2024-01-02 02:10:00,3.403,0.0,30.35,0,0.3954,,,0,0.0,0.0,1.0030000000000001,0.030000000000000693,1,57,0.012210796915167094,-73.30539421727417,76.70839421727418,0,正常
2024-01-02 02:20:00,0.824,0.0,30.33,1,0.5371,,,0,0.0,0.0,1.008,0.02999999999999936,1,58,0.012425021422450729,-75.03897261718498,75.86297261718498,0,正常
2024-01-02 02:30:00,0.988,0.0,30.16,1,0.5404,,,0,0.0,0.0,1.0150000000000001,0.0420000000000007,1,59,0.012639245929734361,-76.21685139289025,77.20485139289025,0,正常
2024-01-02 02:40:00,0.914,0.0,29.71,2,0.4904,,,0,0.0,0.0,1.022,0.04199999999999937,1,60,0.012853470437017995,-78.54120404330547,79.45520404330547,0,正常
2024-01-02 02:50:00,1.377,0.0,29.63,0,0.3919,,,0,0.0,0.0,1.024,0.01200000000000001,1,61,0.013067694944301628,-77.46847816846866,78.84547816846866,0,正常
2024-01-02 03:00:00,1.287,0.0,29.57,0,0.5007,,,0,0.0,0.0,1.027,0.01799999999999935,1,62,0.013281919451585262,-77.43333991331792,78.72033991331793,0,正常
2024-01-02 03:10:00,0.986,0.0,29.47,2,0.4631,,,0,0.0,0.0,1.027,0.0,1,63,0.013496143958868894,-80.69396266441845,81.67996266441845,0,正常
2024-01-02 03:20:00,1.008,0.0,29.64,1,0.5079,,,0,0.0,0.0,1.031,0.02400000000000002,1,64,0.013710368466152529,-80.67944706802018,81.68744706802018,0,正常
2024-01-02 03:30:00,0.965,0.0,29.43,0,0.4621,,,0,0.0,0.0,1.041,0.06000000000000005,1,65,0.013924592973436161,-78.72933263279856,79.69433263279856,0,正常
2024-01-02 03:40:00,1.024,0.0,29.81,0,0.5218,,,0,0.0,0.0,1.041,0.0,1,66,0.014138817480719794,-77.02473923123966,78.04873923123967,0,正常
2024-01-02 03:50:00,1.105,0.0,29.66,1,0.5322,,,0,0.0,0.0,1.051,0.06000000000000005,1,67,0.014353041988003428,-78.53672306214776,79.64172306214776,0,正常
2024-01-02 04:00:00,0.463,0.0,29.76,1,0.5105,,,0,0.0,0.0,1.051,0.0,1,68,0.01456726649528706,-80.141363575887,80.60436357588699,0,正常
2024-01-02 04:10:00,1.128,0.0,29.59,0,0.5016,,,0,0.0,0.0,1.076,0.1500000000000008,1,69,0.014781491002570694,-76.79124345690639,77.91924345690639,0,正常
2024-01-02 04:20:00,1.089,0.0,29.67,1,0.5008,,,0,0.0,0.0,1.078,0.01200000000000001,1,70,0.014995715509854327,-77.14676772645976,78.23576772645976,0,正常
2024-01-02 04:30:00,0.998,0.0,29.79,2,0.4796,,,0,0.0,0.0,1.089,0.06599999999999939,1,71,0.015209940017137961,-80.65542022261616,81.65342022261616,0,正常
2024-01-02 04:40:00,1.13,0.0,29.44,0,0.4202,,,0,0.0,0.0,1.093,0.02400000000000002,1,72,0.015424164524421594,-79.0177755114803,80.14777551148029,0,正常
2024-01-02 04:50:00,0.849,0.0,29.13,1,0.4412,,,0,0.0,0.0,1.097,0.02400000000000002,1,73,0.015638389031705228,-78.9129644766208,79.7619644766208,0,正常
2024-01-02 05:00:00,1.136,0.0,28.98,1,0.5442,,,0,0.0,0.0,1.105,0.04800000000000004,1,74,0.015852613538988862,-78.54976656929352,79.68576656929352,0,正常
2024-01-02 05:10:00,3.443,0.0,28.95,1,0.4659,,,0,0.0,0.0,1.119,0.08400000000000007,1,75,0.016066838046272493,-79.98786837341345,83.43086837341345,0,正常
2024-01-02 05:20:00,1.031,0.0,29.25,0,0.4722,,,0,0.0,0.0,1.128,0.05399999999999938,1,76,0.016281062553556127,-78.68850695506262,79.71950695506263,0,正常
2024-01-02 05:30:00,0.932,0.0,29.28,0,0.5166,,,0,0.0,0.0,1.13,0.01200000000000001,1,77,0.01649528706083976,-75.80682201056447,76.73882201056448,0,正常
2024-01-02 05:40:00,0.895,0.0,29.39,1,0.4368,,,0,0.0,0.0,1.136,0.03600000000000003,1,78,0.016709511568123392,-77.95479660506385,78.84979660506384,0,正常
2024-01-02 05:50:00,1.027,0.0,28.86,0,0.5245,,,0,0.0,0.0,1.142,0.03600000000000003,1,79,0.016923736075407026,-75.45745482505549,76.4844548250555,0,正常
2024-01-02 06:00:00,0.383,0.0,28.78,0,0.5425,,,0,0.0,0.0,1.163,0.12600000000000078,1,80,0.01713796058269066,-73.99357469454299,74.37657469454298,0,正常
2024-01-02 06:10:00,0.948,0.0,28.86,1,0.5346,,,0,0.0,0.0,1.193,0.18000000000000016,1,81,0.017352185089974295,-74.43389050079395,75.38189050079394,0,正常
2024-01-02 06:20:00,1.991,0.0,28.92,1,0.5651,,,0,0.0,0.0,1.206,0.0779999999999994,1,82,0.017566409597257925,-75.61507798839898,77.60607798839898,0,正常
2024-01-02 06:30:00,1.808,0.0,28.69,1,0.4615,,,0,0.0,0.0,1.211,0.030000000000000693,1,83,0.01778063410454156,-76.49947661305373,78.30747661305374,0,正常
2024-01-02 06:40:00,1.142,0.0,28.31,0,0.5128,,,0,0.0,0.0,1.254,0.25799999999999956,1,84,0.017994858611825194,-73.9418718436059,75.08387184360589,0,正常
2024-01-02 06:50:00,1.298,0.0,28.17,1,0.5245,,,0,0.0,0.0,1.261,0.04199999999999937,1,85,0.018209083119108824,-75.81571367584229,77.11371367584229,0,正常
2024-01-02 07:00:00,1.337,0.0,28.1,0,0.476,,,0,0.0,0.0,1.268,0.0420000000000007,1,86,0.01842330762639246,-75.38193913176679,76.71893913176679,0,正常
2024-01-02 07:10:00,0.986,0.0,28.15,1,0.5411,,,0,0.0,0.0,1.283,0.08999999999999941,1,87,0.018637532133676093,-75.69796392530475,76.68396392530475,0,正常
2024-01-02 07:20:00,1.531,0.0,27.84,1,0.495,,,0,0.0,0.0,1.287,0.02400000000000002,1,88,0.018851756640959727,-75.03596764475674,76.56696764475674,0,正常
2024-01-02 07:30:00,1.433,0.0,27.65,0,0.4887,,,0,0.0,0.0,1.287,0.0,1,89,0.019065981148243358,-73.11633400337587,74.54933400337588,0,正常
2024-01-02 07:40:00,1.163,0.0,27.6,0,0.542,,,0,0.0,0.0,1.288,0.0060000000000006715,1,90,0.019280205655526992,-73.30726690439951,74.47026690439951,0,正常
2024-01-02 07:50:00,1.193,0.0,27.54,0,0.4544,,,0,0.0,0.0,1.295,0.04199999999999937,1,91,0.019494430162810626,-71.9162352217893,73.10923522178929,0,正常
2024-01-02 08:00:00,1.027,0.0,27.37,0,0.4078,,,0,0.0,0.0,1.295,0.0,1,92,0.01970865467009426,-71.65184805693525,72.67884805693525,0,正常
2024-01-02 08:10:00,1.041,0.0,27.04,2,0.5858,,,0,0.0,0.0,1.296,0.0060000000000006715,1,93,0.01992287917737789,-73.07274477083388,74.11374477083388,0,正常
2024-01-02 08:20:00,1.076,0.0,27.0,0,0.4342,,,0,0.0,0.0,1.298,0.01200000000000001,1,94,0.020137103684661525,-71.20512193653599,72.28112193653598,0,正常
2024-01-02 08:30:00,1.502,0.0,27.12,0,0.4601,,,0,0.0,0.0,1.301,0.01799999999999935,1,95,0.02035132819194516,-71.58469003995924,73.08669003995924,0,正常
2024-01-02 08:40:00,0.874,0.0,26.75,0,0.476,,,0,0.0,0.0,1.308,0.0420000000000007,1,96,0.02056555269922879,-70.93868685887378,71.81268685887378,0,正常
2024-01-02 08:50:00,1.346,0.0,26.95,0,0.4282,,,0,0.0,0.0,1.318,0.06000000000000005,1,97,0.020779777206512424,-71.3317053252913,72.6777053252913,0,正常
2024-01-02 09:00:00,1.43,0.0,27.04,0,0.4615,,,0,0.0,0.0,1.335,0.10199999999999942,1,98,0.02099400171379606,-71.60340880107924,73.03340880107925,0,正常
2024-01-02 09:10:00,1.093,0.0,27.39,1,0.4761,,,0,0.0,0.0,1.337,0.01200000000000001,1,99,0.021208226221079693,-71.42364707474803,72.51664707474804,0,正常
2024-01-02 09:20:00,1.078,0.0,27.28,1,0.4302,,,0,0.0,0.0,1.346,0.054000000000000714,1,100,0.021422450728363324,-72.59024559752811,73.66824559752811,0,正常
2024-01-02 09:30:00,1.295,0.0,27.07,0,0.4596,,,0,0.0,0.0,1.362,0.09600000000000009,1,101,0.021636675235646958,-71.71134851287297,73.00634851287298,0,正常
2024-01-02 09:40:00,1.211,0.0,26.66,1,0.5511,,,0,0.0,0.0,1.365,0.01799999999999935,1,102,0.021850899742930592,-72.9857148662179,74.1967148662179,0,正常
2024-01-02 09:50:00,1.261,0.0,26.57,0,0.5399,,,0,0.0,0.0,1.377,0.07200000000000006,1,103,0.022065124250214223,-72.31156590030514,73.57256590030514,0,正常
2024-01-02 10:00:00,1.524,0.0,26.62,4,0.5384,,,0,0.0,0.0,1.383,0.03600000000000003,1,104,0.022279348757497857,-79.22625784269326,80.75025784269326,0,正常
2024-01-02 10:10:00,1.661,3.9,30.11,0,0.4467,,,0,0.0,0.0,1.398,0.08999999999999941,1,105,0.02249357326478149,-83.31401630491678,84.97501630491678,0,正常
2024-01-02 10:20:00,1.726,0.0,29.81,0,0.4743,,,0,0.0,0.0,1.43,0.19200000000000017,1,106,0.022707797772065125,-81.94593493564025,83.67193493564025,0,正常
2024-01-02 10:30:00,1.283,0.0,29.7,1,0.5241,,,0,0.0,0.0,1.433,0.018000000000000682,1,107,0.022922022279348756,-83.45850955128344,84.74150955128344,0,正常
2024-01-02 10:40:00,1.524,0.0,29.86,1,0.4582,,,0,0.0,0.0,1.465,0.19200000000000017,1,108,0.02313624678663239,-83.87192062080476,85.39592062080476,0,正常
2024-01-02 10:50:00,1.362,0.0,30.11,0,0.5626,,,0,0.0,0.0,1.47,0.02999999999999936,1,109,0.023350471293916025,-83.81502115728472,85.17702115728471,0,正常
2024-01-02 11:00:00,1.119,0.0,29.8,0,0.4988,,,0,0.0,0.0,1.476,0.03600000000000003,1,110,0.02356469580119966,-77.4189413279878,78.5379413279878,0,正常
2024-01-02 11:10:00,1.206,0.0,29.67,1,0.5012,,,0,0.0,0.0,1.502,0.15600000000000014,1,111,0.02377892030848329,-81.75522096186842,82.96122096186842,0,正常
2024-01-02 11:20:00,1.465,0.0,29.85,2,0.5107,,,0,0.0,0.0,1.524,0.13200000000000012,1,112,0.023993144815766924,-85.21005320509312,86.67505320509312,0,正常
2024-01-02 11:30:00,1.383,0.0,29.38,0,0.5715,,,0,0.0,0.0,1.524,0.0,1,113,0.024207369323050558,-82.1608850084624,83.5438850084624,0,正常
2024-01-02 11:40:00,1.398,0.0,29.34,0,0.5109,,,0,0.0,0.0,1.53,0.03600000000000003,1,114,0.02442159383033419,-80.38054430193688,81.77854430193688,0,正常
2024-01-02 11:50:00,1.335,0.0,29.35,1,0.5188,,,0,0.0,0.0,1.531,0.005999999999999339,1,115,0.024635818337617823,-81.68773327889653,83.02273327889652,0,正常
2024-01-02 12:00:00,1.67,4.9,34.05,3,0.5641,,,0,0.0,0.0,1.531,0.0,1,116,0.024850042844901457,-96.0810767125597,97.75107671255971,0,正常
2024-01-02 12:10:00,1.365,0.0,34.16,0,0.4894,,,0,0.0,0.0,1.531,0.0,1,117,0.02506426735218509,-94.31369504243935,95.67869504243934,0,正常
2024-01-02 12:20:00,1.722,0.0,33.9,0,0.3984,,,0,0.0,0.0,1.531,0.0,1,118,0.025278491859468722,-90.4105150465773,92.1325150465773,0,正常
2024-01-02 12:30:00,1.47,0.0,33.94,1,0.559,,,0,0.0,0.0,1.557,0.15600000000000014,1,119,0.025492716366752356,-92.08028800960051,93.55028800960051,0,正常
2024-01-02 12:40:00,1.531,0.0,33.68,1,0.4963,,,0,0.0,0.0,1.56,0.018000000000000682,1,120,0.02570694087403599,-92.48210157045764,94.01310157045765,0,正常
2024-01-02 12:50:00,1.658,0.0,33.58,1,0.5029,,,0,0.0,0.0,1.602,0.2520000000000002,1,121,0.025921165381319625,-91.75527600076225,93.41327600076225,0,正常
2024-01-02 13:00:00,1.83,0.0,33.58,0,0.4792,,,0,0.0,0.0,1.618,0.09600000000000009,1,122,0.026135389888603255,-90.34179626149012,92.17179626149012,0,正常
2024-01-02 13:10:00,1.933,0.0,33.49,0,0.471,,,0,0.0,0.0,1.658,0.23999999999999888,1,123,0.02634961439588689,-89.55808666305825,91.49108666305825,0,正常
2024-01-02 13:20:00,1.287,0.0,32.88,1,0.494,,,0,0.0,0.0,1.661,0.018000000000000682,1,124,0.026563838903170524,-89.8619151545256,91.14891515452561,0,正常
2024-01-02 13:30:00,1.318,0.0,32.9,1,0.5573,,,0,0.0,0.0,1.664,0.01799999999999935,1,125,0.026778063410454155,-89.33850770060667,90.65650770060667,0,正常
2024-01-02 13:40:00,1.783,0.0,32.72,0,0.5957,,,0,0.0,0.0,1.67,0.03600000000000003,1,126,0.02699228791773779,-86.98006607064349,88.76306607064349,0,正常
2024-01-02 13:50:00,1.53,4.4,37.05,0,0.5915,,,0,0.0,0.0,1.722,0.3120000000000003,1,127,0.027206512425021423,-93.92147842118493,95.45147842118493,0,正常
2024-01-02 14:00:00,1.56,0.0,36.79,2,0.5361,,,0,0.0,0.0,1.726,0.02400000000000002,1,128,0.027420736932305057,-96.86958747806239,98.42958747806239,0,正常
2024-01-02 14:10:00,1.618,0.0,36.85,2,0.4241,,,0,0.0,0.0,1.742,0.09600000000000009,1,129,0.027634961439588688,-99.0162934777552,100.6342934777552,0,正常
2024-01-02 14:20:00,1.254,0.0,36.45,1,0.5027,,,0,0.0,0.0,1.783,0.24599999999999955,1,130,0.027849185946872322,-97.65259427761748,98.90659427761749,0,正常
2024-01-02 14:30:00,1.918,0.0,36.33,0,0.4661,,,0,0.0,0.0,1.808,0.1500000000000008,1,131,0.028063410454155956,-94.91601955130409,96.8340195513041,0,正常
2024-01-02 14:40:00,1.892,0.0,35.99,1,0.503,,,0,0.0,0.0,1.81,0.01200000000000001,1,132,0.028277634961439587,-95.38687066312013,97.27887066312013,0,正常
2024-01-02 14:50:00,1.664,0.0,36.09,1,0.5259,,,0,0.0,0.0,1.83,0.1200000000000001,1,133,0.02849185946872322,-99.34521728774394,101.00921728774394,0,正常
2024-01-02 15:00:00,1.557,0.0,36.11,1,0.5464,,,0,0.0,0.0,1.845,0.08999999999999941,1,134,0.028706083976006855,-97.44890601373504,99.00590601373504,0,正常
2024-01-02 15:10:00,2.19,0.0,35.7,0,0.5572,,,0,0.0,0.0,1.862,0.10200000000000076,1,135,0.02892030848329049,-92.81734479540933,95.00734479540932,0,正常
2024-01-02 15:20:00,1.602,0.0,35.36,2,0.4802,,,0,0.0,0.0,1.862,0.0,1,136,0.02913453299057412,-93.88653356832242,95.48853356832242,0,正常
2024-01-02 15:30:00,2.081,0.0,35.36,0,0.4877,,,0,0.0,0.0,1.871,0.05399999999999938,1,137,0.029348757497857755,-92.58841157164966,94.66941157164966,0,正常
2024-01-02 15:40:00,1.862,0.0,35.29,0,0.4795,,,0,0.0,0.0,1.871,0.0,1,138,0.02956298200514139,-90.62699927150561,92.4889992715056,0,正常
2024-01-02 15:50:00,1.873,0.0,35.58,0,0.4187,,,0,0.0,0.0,1.873,0.01200000000000001,1,139,0.029777206512425023,-88.93767492209076,90.81067492209077,0,正常
2024-01-02 16:00:00,1.871,0.0,35.54,0,0.4881,,,0,0.0,0.0,1.892,0.11399999999999944,1,140,0.029991431019708654,-86.7243822451801,88.59538224518009,0,正常
2024-01-02 16:10:00,1.845,0.0,35.89,1,0.6024,,,0,0.0,0.0,1.903,0.06600000000000072,1,141,0.030205655526992288,-81.30032711402328,83.14532711402327,0,正常
2024-01-02 16:20:00,1.871,1.0,36.75,0,0.463,,,0,0.0,0.0,1.913,0.06000000000000005,1,142,0.030419880034275922,-79.6664803275944,81.5374803275944,0,正常
2024-01-02 16:30:00,1.81,0.0,36.86,0,0.5104,,,0,0.0,0.0,1.913,0.0,1,143,0.030634104541559553,-79.40527483862206,81.21527483862207,0,正常
2024-01-02 16:40:00,1.95,0.0,36.61,0,0.5092,,,0,0.0,0.0,1.918,0.02999999999999936,1,144,0.030848329048843187,-78.38697712464432,80.33697712464432,0,正常
2024-01-02 16:50:00,2.082,0.0,36.86,1,0.5674,,,0,0.0,0.0,1.933,0.09000000000000075,1,145,0.03106255355612682,-79.71360682108161,81.7956068210816,0,正常
2024-01-02 17:00:00,2.655,0.0,36.95,0,0.4835,,,0,0.0,0.0,1.946,0.0779999999999994,1,146,0.031276778063410456,-78.9288296377315,81.5838296377315,0,正常
2024-01-02 17:10:00,2.069,0.0,37.02,1,0.5336,,,0,0.0,0.0,1.95,0.02400000000000002,1,147,0.031491002570694086,-78.4538205197457,80.52282051974571,0,正常
